date,ILM.W.U2.C.A050100.U2.EUR
2014-09-19,105689.0
2014-09-26,90307.0
2014-10-03,89075.0
2014-10-10,84212.0
2014-10-17,82518.0
2014-10-24,92918.0
2014-10-31,118152.0
2014-11-07,98189.0
2014-11-14,98421.0
2014-11-21,102587.0
2014-11-28,114304.0
2014-12-05,98046.0
2014-12-12,105221.0
2014-12-19,99027.0
2014-12-26,119162.0
2015-01-02,156129.0
2015-01-09,112335.0
2015-01-16,113986.0
2015-01-23,125256.0
2015-01-30,163821.0
2015-02-06,151768.0
2015-02-13,104538.0
2015-02-20,122114.0
2015-02-27,165352.0
2015-03-06,147853.0
2015-03-13,141839.0
2015-03-20,142401.0
2015-03-27,120508.0
2015-04-03,103587.0
2015-04-10,108257.0
2015-04-17,96559.0
2015-04-24,95737.0
2015-05-01,108485.0
2015-05-08,95233.0
2015-05-15,90622.0
2015-05-22,88398.0
2015-05-29,100104.0
2015-06-05,92519.0
2015-06-12,90393.0
2015-06-19,89658.0
2015-06-26,88234.0
2015-07-03,76412.0
2015-07-10,74463.0
2015-07-17,75537.0
2015-07-24,75150.0
2015-07-31,79973.0
2015-08-07,71007.0
2015-08-14,69674.0
2015-08-21,69563.0
2015-08-28,70080.0
2015-09-04,71040.0
2015-09-11,70909.0
2015-09-18,70665.0
2015-09-25,71077.0
2015-10-02,72551.0
2015-10-09,70556.0
2015-10-16,69520.0
2015-10-23,65908.0
2015-10-30,68451.0
2015-11-06,61468.0
2015-11-13,62532.0
2015-11-20,60527.0
2015-11-27,73774.0
2015-12-04,69815.0
2015-12-11,69094.0
2015-12-18,68570.0
2015-12-25,72908.0
2016-01-01,88978.0
2016-01-08,70632.0
2016-01-15,65742.0
2016-01-22,65197.0
2016-01-29,68964.0
2016-02-05,61227.0
2016-02-12,60200.0
2016-02-19,61798.0
2016-02-26,65755.0
2016-03-04,61291.0
2016-03-11,60808.0
2016-03-18,59675.0
2016-03-25,60574.0
2016-04-01,62319.0
2016-04-08,56013.0
2016-04-15,55708.0
2016-04-22,54019.0
2016-04-29,56256.0
2016-05-06,53549.0
2016-05-13,51440.0
2016-05-20,49947.0
2016-05-27,60203.0
2016-06-03,51905.0
2016-06-10,50848.0
2016-06-17,49140.0
2016-06-24,49883.0
2016-07-01,53054.0
2016-07-08,44089.0
2016-07-15,42467.0
2016-07-22,43569.0
2016-07-29,49593.0
2016-08-05,42989.0
2016-08-12,41621.0
2016-08-19,41652.0
2016-08-26,42778.0
2016-09-02,43781.0
2016-09-09,41777.0
2016-09-16,41581.0
2016-09-23,43178.0
2016-09-30,38740.0
2016-10-07,34368.0
2016-10-14,32886.0
2016-10-21,33428.0
2016-10-28,36027.0
2016-11-04,32728.0
2016-11-11,31449.0
2016-11-18,32639.0
2016-11-25,33719.0
2016-12-02,35952.0
2016-12-09,35762.0
2016-12-16,36822.0
2016-12-23,32877.0
2016-12-30,39131.0
2017-01-06,34006.0
2017-01-13,32319.0
2017-01-20,32330.0
2017-01-27,33994.0
2017-02-03,31645.0
2017-02-10,29599.0
2017-02-17,28007.0
2017-02-24,30830.0
2017-03-03,25253.0
2017-03-10,23880.0
2017-03-17,26514.0
2017-03-24,32682.0
2017-03-31,14755.0
2017-04-07,13171.0
2017-04-14,13228.0
2017-04-21,14750.0
2017-04-28,14409.0
2017-05-05,14429.0
2017-05-12,13679.0
2017-05-19,13977.0
2017-05-26,15916.0
2017-06-02,12073.0
2017-06-09,12107.0
2017-06-16,11013.0
2017-06-23,11521.0
2017-06-30,11636.0
2017-07-07,8250.0
2017-07-14,7104.0
2017-07-21,6828.0
2017-07-28,7350.0
2017-08-04,4267.0
2017-08-11,4591.0
2017-08-18,4810.0
2017-08-25,7267.0
2017-09-01,5914.0
2017-09-08,4310.0
2017-09-15,3986.0
2017-09-22,5060.0
2017-09-29,4208.0
2017-10-06,3248.0
2017-10-13,21343.0
2017-10-20,3821.0
2017-10-27,5311.0
2017-11-03,2995.0
2017-11-10,2703.0
2017-11-17,2844.0
2017-11-24,2976.0
2017-12-01,4994.0
2017-12-08,2256.0
2017-12-15,1919.0
2017-12-22,3372.0
2017-12-29,3372.0
2018-01-05,2910.0
2018-01-12,3007.0
2018-01-19,2418.0
2018-01-26,2159.0
2018-02-02,1906.0
2018-02-09,1553.0
2018-02-16,1322.0
2018-02-23,1542.0
2018-03-02,1719.0
2018-03-09,1146.0
2018-03-16,1021.0
2018-03-23,1542.0
2018-03-30,2428.0
2018-04-06,2308.0
2018-04-13,1674.0
2018-04-20,1637.0
2018-04-27,2801.0
2018-05-04,2562.0
2018-05-11,2003.0
2018-05-18,2006.0
2018-05-25,2137.0
2018-06-01,1551.0
2018-06-08,1211.0
2018-06-15,1139.0
2018-06-22,1544.0
2018-06-29,2738.0
2018-07-06,2283.0
2018-07-13,1910.0
2018-07-20,1958.0
2018-07-27,1951.0
2018-08-03,2544.0
2018-08-10,2748.0
2018-08-17,2738.0
2018-08-24,2785.0
2018-08-31,2540.0
2018-09-07,3617.0
2018-09-14,4224.0
2018-09-21,4963.0
2018-09-28,6434.0
2018-10-05,7241.0
2018-10-12,7302.0
2018-10-19,7860.0
2018-10-26,7683.0
2018-11-02,8007.0
2018-11-09,6551.0
2018-11-16,6736.0
2018-11-23,6352.0
2018-11-30,6535.0
2018-12-07,6599.0
2018-12-14,7097.0
2018-12-21,9573.0
2018-12-28,9573.0
2019-01-04,8214.0
2019-01-11,7329.0
2019-01-18,6307.0
2019-01-25,6576.0
2019-02-01,6574.0
2019-02-08,5423.0
2019-02-15,5910.0
2019-02-22,5929.0
2019-03-01,6487.0
2019-03-08,5769.0
2019-03-15,6093.0
2019-03-22,5621.0
2019-03-29,6095.0
2019-04-05,5379.0
2019-04-12,5335.0
2019-04-19,5403.0
2019-04-26,5959.0
2019-05-03,5743.0
2019-05-10,5394.0
2019-05-17,5399.0
2019-05-24,4921.0
2019-05-31,6128.0
2019-06-07,5276.0
2019-06-14,5975.0
2019-06-21,6213.0
2019-06-28,6426.0
2019-07-05,5071.0
2019-07-12,2927.0
2019-07-19,2892.0
2019-07-26,2913.0
2019-08-02,3601.0
2019-08-09,3384.0
2019-08-16,2990.0
2019-08-23,2973.0
2019-08-30,3348.0
2019-09-06,2347.0
2019-09-13,2317.0
2019-09-20,2021.0
2019-09-27,2804.0
2019-10-04,1821.0
2019-10-11,2289.0
2019-10-18,1882.0
2019-10-25,1070.0
2019-11-01,2236.0
2019-11-08,1560.0
2019-11-15,1547.0
2019-11-22,1894.0
2019-11-29,2531.0
2019-12-06,1388.0
2019-12-13,1395.0
2019-12-20,2484.0
2019-12-27,7904.0
2020-01-03,1468.0
2020-01-10,1104.0
2020-01-17,821.0
2020-01-24,965.0
2020-01-31,1602.0
2020-02-07,842.0
2020-02-14,900.0
2020-02-21,1017.0
2020-02-28,1724.0
2020-03-06,1397.0
2020-03-13,2163.0
2020-03-20,1470.0
2020-03-27,1055.0
2020-04-03,444.0
2020-04-10,316.0
2020-04-17,224.0
2020-04-24,157.0
2020-05-01,266.0
2020-05-08,346.0
