date,PEPP:redemptions
2020-03-01,0.0
2020-04-01,0.0
2020-05-01,352.0
2020-06-01,2682.0
2020-07-01,5135.0
2020-08-01,4730.0
2020-09-01,6982.0
2020-10-01,9704.0
2020-11-01,9977.0
2020-12-01,7671.0
2021-01-01,15671.0
2021-02-01,13271.0
2021-03-01,15417.0
2021-04-01,26791.0
2021-05-01,19541.0
2021-06-01,14892.0
2021-07-01,15899.0
2021-08-01,13043.0
2021-09-01,15905.0
2021-10-01,16560.0
2021-11-01,18804.0
2021-12-01,11228.0
2022-01-01,15711.0
2022-02-01,15206.0
2022-03-01,17512.0
2022-04-01,27753.0
2022-05-01,22049.0
2022-06-01,18347.0
2022-07-01,22519.0
2022-08-01,15436.0
2022-09-01,26114.0
2022-10-01,15764.0
2022-11-01,17225.0
2022-12-01,10543.0
2023-01-01,18190.0
2023-02-01,16994.0
2023-03-01,26397.0
2023-04-01,14601.0
2023-05-01,18899.0
2023-06-01,12309.0
2023-07-01,15217.0
2023-08-01,13526.0
2023-09-01,10366.0
2023-10-01,22989.0
2023-11-01,10850.0
2023-12-01,6679.0
2024-01-01,21821.0
2024-02-01,19360.0
2024-03-01,19635.0
2024-04-01,21510.0
2024-05-01,24666.0
2024-06-01,12402.0
2024-07-01,19146.0
2024-08-01,10987.0
2024-09-01,10965.0
2024-10-01,18992.0
2024-11-01,14664.0
2024-12-01,10270.0
2025-01-01,12551.0
2025-02-01,20604.0
2025-03-01,24463.0
2025-04-01,17716.0
2025-05-01,14308.0
2025-06-01,15870.0
2025-07-01,15288.0
2025-08-01,9073.0
2025-09-01,8370.0
2025-10-01,17696.0
2025-11-01,13077.0
2025-12-01,5870.0
2026-01-01,6925.0
2026-02-01,24086.0
2026-03-01,16755.0
2026-04-01,26235.0
2026-05-01,13570.0
2026-06-01,11605.0
2026-07-01,24715.0
2026-08-01,9713.0
2026-09-01,7276.0
2026-10-01,10968.0
2026-11-01,15818.0
2026-12-01,5760.0
2027-01-01,8050.0
2027-02-01,18322.0
2027-03-01,4520.0
2027-04-01,20819.0
2027-05-01,12998.0
2027-06-01,9658.0
2027-07-01,15238.0
2027-08-01,10689.0
2027-09-01,9565.0
2027-10-01,19591.0
2027-11-01,13789.0
2027-12-01,4374.0
