date,PEPP:holdings
2020-03-01,15444.0
2020-04-01,118807.0
2020-05-01,234665.0
2020-06-01,354634.0
2020-07-01,440057.0
2020-08-01,499523.0
2020-09-01,565641.0
2020-10-01,627626.0
2020-11-01,698461.0
2020-12-01,753710.0
2021-01-01,806756.0
2021-02-01,866670.0
2021-03-01,937723.0
2021-04-01,1017841.0
2021-05-01,1098541.0
2021-06-01,1175791.0
2021-07-01,1263348.0
2021-08-01,1328398.0
2021-09-01,1399609.0
2021-10-01,1467464.0
2021-11-01,1535508.0
2021-12-01,1580665.0
2022-01-01,1630779.0
2022-02-01,1670963.0
2022-03-01,1696489.0
2022-04-01,1696484.0
2022-05-01,1696474.0
2022-06-01,1692692.0
2022-07-01,1691971.0
2022-08-01,1689158.0
2022-09-01,1683336.0
2022-10-01,1683190.0
2022-11-01,1683054.0
2022-12-01,1680666.0
2023-01-01,1680440.0
2023-02-01,1680421.0
2023-03-01,1675807.0
2023-04-01,1675710.0
2023-05-01,1675317.0
2023-06-01,1672111.0
2023-07-01,1671901.0
2023-08-01,1671665.0
2023-09-01,1667839.0
2023-10-01,1667162.0
2023-11-01,1667976.0
2023-12-01,1666024.0
2024-01-01,1665921.0
2024-02-01,1665983.0
2024-03-01,1662164.0
2024-04-01,1662199.0
2024-05-01,1662152.0
2024-06-01,1659753.0
2024-07-01,1652252.0
2024-08-01,1644770.0
2024-09-01,1637347.0
2024-10-01,1626830.0
2024-11-01,1619343.0
2024-12-01,1608871.0
2025-01-01,1596270.0
2025-02-01,1575664.0
2025-03-01,1548241.0
2025-04-01,1530492.0
2025-05-01,1516148.0
2025-06-01,1497972.0
2025-07-01,1482646.0
2025-08-01,1473571.0
2025-09-01,1462300.0
2025-10-01,1444520.0
2025-11-01,1431443.0
2025-12-01,1423019.0
2026-01-01,1416094.0
2026-02-01,1392008.0
2026-03-01,1372208.0
2026-04-01,1346090.0
2026-05-01,1332501.0
2026-06-01,1319479.0
2026-07-01,1294658.0
2026-08-01,1284844.0
