date,ILM.W.U2.C.A070100.U2.EUR
2014-09-19,194537.0
2014-09-26,194513.0
2014-10-03,194627.0
2014-10-10,194046.0
2014-10-17,191240.0
2014-10-24,192350.0
2014-10-31,192933.0
2014-11-07,195562.0
2014-11-14,198048.0
2014-11-21,198964.0
2014-11-28,204161.0
2014-12-05,207520.0
2014-12-12,211536.0
2014-12-19,215514.0
2014-12-26,216901.0
2015-01-02,217242.0
2015-01-09,218949.0
2015-01-16,220715.0
2015-01-23,224661.0
2015-01-30,227107.0
2015-02-06,226599.0
2015-02-13,229385.0
2015-02-20,231525.0
2015-02-27,234176.0
2015-03-06,237136.0
2015-03-13,249377.0
2015-03-20,268838.0
2015-03-27,287014.0
2015-04-03,300731.0
2015-04-10,312738.0
2015-04-17,324958.0
2015-04-24,339786.0
2015-05-01,350843.0
2015-05-08,367221.0
2015-05-15,384003.0
2015-05-22,397968.0
2015-05-29,413509.0
2015-06-05,428880.0
2015-06-12,442214.0
2015-06-19,451233.0
2015-06-26,465142.0
2015-07-03,477615.0
2015-07-10,491914.0
2015-07-17,505178.0
2015-07-24,514659.0
2015-07-31,528270.0
2015-08-07,540894.0
2015-08-14,552817.0
2015-08-21,560849.0
2015-08-28,572456.0
2015-09-04,585593.0
2015-09-11,602827.0
2015-09-18,617219.0
2015-09-25,631112.0
2015-10-02,642538.0
2015-10-09,656749.0
2015-10-16,668936.0
2015-10-23,683174.0
2015-10-30,695668.0
2015-11-06,707696.0
2015-11-13,721944.0
2015-11-20,736102.0
2015-11-27,752209.0
2015-12-04,770737.0
2015-12-11,786331.0
2015-12-18,798576.0
2015-12-25,805280.0
2016-01-01,803135.0
2016-01-08,812441.0
2016-01-15,829717.0
2016-01-22,846725.0
2016-01-29,864341.0
2016-02-05,878871.0
2016-02-12,893897.0
2016-02-19,907625.0
2016-02-26,921426.0
2016-03-04,936769.0
2016-03-11,950980.0
2016-03-18,965222.0
2016-03-25,977742.0
2016-04-01,986154.0
2016-04-08,1006109.0
2016-04-15,1022251.0
2016-04-22,1041474.0
2016-04-29,1060027.0
2016-05-06,1077704.0
2016-05-13,1095963.0
2016-05-20,1113808.0
2016-05-27,1133738.0
2016-06-03,1152366.0
2016-06-10,1171262.0
2016-06-17,1191446.0
2016-06-24,1212942.0
2016-07-01,1225579.0
2016-07-08,1243698.0
2016-07-15,1263617.0
2016-07-22,1281420.0
2016-07-29,1298808.0
2016-08-05,1312349.0
2016-08-12,1325615.0
2016-08-19,1339256.0
2016-08-26,1351823.0
2016-09-02,1365578.0
2016-09-09,1385178.0
2016-09-16,1402157.0
2016-09-23,1420301.0
2016-09-30,1434785.0
2016-10-07,1454899.0
