date,coupons_paid_all
2022-10-28,22.031
2022-10-31,261.25
2022-11-01,943.478
2022-11-04,39.418
2022-11-15,757.507
2022-11-16,12.256
2022-11-17,9.995
2022-11-21,30.232
2022-11-22,19.151
2022-11-25,1779.795
2022-11-28,173.129
2022-11-30,123.141
2022-12-01,2076.546
2022-12-05,61.627
2022-12-12,21.216
2022-12-15,287.767
2022-12-28,75.752
2023-01-02,305.075
2023-01-04,4018.125
2023-01-16,417.191
2023-02-01,3920.598
2023-02-06,258.303
2023-02-15,1486.972
2023-02-27,234.64
2023-03-01,7864.138
2023-03-06,62.877
2023-03-13,32.055
2023-03-15,1498.771
2023-03-28,45.97
2023-04-03,627.878
2023-04-11,15.035
2023-04-13,101.26
2023-04-17,269.627
2023-04-20,24.446
2023-04-24,22.456
2023-04-25,8371.068
2023-04-27,20.539
2023-04-28,22.568
2023-05-01,826.961
2023-05-02,22.5
2023-05-15,1635.485
2023-05-16,12.256
2023-05-17,9.995
2023-05-22,146.473
2023-05-25,10184.379
2023-05-26,146.969
2023-05-30,145.93
2023-06-01,2197.021
2023-06-05,42.521
2023-06-12,44.289
2023-06-14,34.0
2023-06-15,491.035
2023-06-26,671.275
2023-06-28,75.752
2023-07-03,305.075
2023-07-04,6259.155
2023-07-06,282.07
2023-07-14,35.26
2023-07-17,463.499
2023-07-25,1920.172
2023-08-01,4000.88
2023-08-15,3416.129
2023-09-01,7729.269
2023-09-13,215.803
2023-09-14,99.637
2023-09-15,1549.902
2023-09-18,86.63
2023-09-25,486.695
2023-09-28,262.174
2023-09-29,78.904
2023-10-02,820.774
2023-10-04,670.018
2023-10-05,65.454
2023-10-11,15.035
2023-10-16,838.481
2023-10-19,182.268
2023-10-23,5.5
2023-10-24,9.431
2023-10-25,7903.253
2023-10-27,20.539
2023-10-30,483.818
2023-11-01,1141.391
2023-11-06,501.8
2023-11-15,1623.033
2023-11-16,12.256
2023-11-17,9.995
2023-11-20,6.957
2023-11-21,20.355
2023-11-22,99.062
2023-11-27,2689.485
2023-11-30,145.93
2023-12-01,2197.021
2023-12-04,511.748
2023-12-05,6.003
2023-12-12,418.501
2023-12-13,147.803
2023-12-15,639.714
2023-12-28,75.752
2024-01-01,290.324
2024-01-04,4048.125
2024-01-10,176.198
2024-01-15,633.509
2024-02-01,4194.528
2024-02-05,789.725
2024-02-15,2247.246
2024-02-26,1351.731
2024-03-01,8339.898
2024-03-04,534.36
2024-03-13,585.303
2024-03-14,99.637
2024-03-15,1512.353
2024-03-19,46.678
2024-03-28,262.174
2024-03-29,225.0
2024-04-01,1207.098
2024-04-04,106.378
2024-04-10,176.198
2024-04-11,14.459
2024-04-12,78.247
2024-04-15,998.791
2024-04-22,13.025
2024-04-24,8.749
2024-04-25,8497.988
2024-04-29,42.365
2024-04-30,539.25
2024-05-01,931.58
2024-05-02,22.5
2024-05-15,1848.688
2024-05-16,12.256
2024-05-17,9.995
2024-05-21,19.715
2024-05-22,95.956
2024-05-27,12354.881
2024-05-30,123.315
2024-06-03,2258.134
2024-06-04,42.521
2024-06-05,148.821
2024-06-10,1.944
2024-06-12,490.0
2024-06-13,147.803
2024-06-14,34.0
2024-06-17,857.239
2024-06-18,62.211
2024-06-25,827.235
2024-06-28,75.52
2024-07-01,749.829
2024-07-04,6681.148
2024-07-08,282.07
2024-07-10,176.198
2024-07-15,770.228
2024-07-25,1653.297
2024-07-29,209.219
2024-08-01,4278.129
2024-08-14,94.022
2024-08-15,4967.125
2024-08-28,38.592
2024-09-02,7716.248
2024-09-05,148.821
2024-09-13,215.803
2024-09-16,1573.815
2024-09-17,57.921
2024-09-18,527.0
2024-09-24,1727.721
2024-09-30,487.174
2024-10-01,1257.638
2024-10-04,1133.908
2024-10-07,562.356
2024-10-10,176.198
2024-10-11,93.151
2024-10-15,800.941
2024-10-21,708.0
2024-10-22,5.5
2024-10-24,8.209
2024-10-25,6017.01
2024-10-28,42.365
2024-10-30,721.5
2024-11-01,946.416
2024-11-04,501.8
2024-11-14,94.022
2024-11-15,2364.607
2024-11-18,22.251
2024-11-21,19.715
2024-11-22,95.956
2024-11-25,4745.564
2024-11-26,139.385
2024-12-02,2228.182
2024-12-04,1366.232
2024-12-05,604.862
2024-12-06,241.202
2024-12-10,37.342
2024-12-12,941.0
2024-12-13,147.803
2024-12-16,857.239
2024-12-30,75.52
2025-01-01,847.348
2025-01-06,4048.125
2025-01-10,176.198
2025-01-14,35.26
2025-01-15,1129.516
2025-01-28,251.2
2025-02-03,4844.624
2025-02-04,1252.195
2025-02-14,94.022
2025-02-17,3243.244
2025-02-25,3024.079
2025-02-28,234.766
2025-03-03,7920.477
2025-03-04,534.36
2025-03-05,148.821
2025-03-11,22.904
2025-03-13,585.303
2025-03-14,99.169
2025-03-17,1121.354
2025-03-19,475.0
2025-03-28,248.58
2025-03-31,279.0
2025-04-01,1932.59
2025-04-04,576.36
2025-04-10,176.198
2025-04-14,1184.171
2025-04-15,620.807
2025-04-18,142.159
2025-04-22,13.025
2025-04-25,9049.928
2025-04-28,42.337
2025-04-30,863.584
2025-05-01,979.041
2025-05-02,22.5
2025-05-14,94.022
2025-05-15,2165.631
2025-05-16,12.256
2025-05-19,9.995
2025-05-21,19.715
2025-05-22,95.956
2025-05-26,13608.151
2025-06-02,2042.298
2025-06-04,42.521
2025-06-05,148.821
2025-06-10,32.59
2025-06-12,490.0
2025-06-13,147.803
2025-06-16,1060.324
2025-06-18,551.0
2025-06-25,1202.18
2025-06-30,75.705
2025-07-01,1008.103
2025-07-04,7003.58
2025-07-07,291.674
2025-07-10,176.198
2025-07-14,35.26
2025-07-15,1253.604
2025-07-25,1820.316
2025-07-28,251.2
2025-08-01,5202.705
2025-08-14,94.022
2025-08-15,6451.101
2025-08-25,324.865
2025-08-26,22.956
2025-08-28,220.971
2025-09-01,7285.806
2025-09-05,148.821
2025-09-15,1375.513
2025-09-16,46.042
2025-09-17,513.0
2025-09-18,527.0
2025-09-24,2394.568
2025-09-29,279.0
2025-10-01,2632.857
2025-10-06,3368.94
2025-10-10,303.737
2025-10-13,780.966
2025-10-14,9.589
2025-10-15,985.654
2025-10-20,708.0
2025-10-22,5.5
2025-10-27,5987.469
2025-10-28,21.798
2025-10-30,1008.361
2025-11-03,979.041
2025-11-04,546.722
2025-11-14,94.022
2025-11-17,2906.16
2025-11-21,19.715
2025-11-24,95.956
2025-11-25,5564.717
2025-12-01,1901.257
2025-12-04,2156.708
2025-12-05,742.582
2025-12-08,530.122
2025-12-10,380.0
2025-12-12,1043.348
2025-12-15,1467.308
2025-12-16,50.137
2025-12-29,75.52
2026-01-01,962.327
2026-01-05,4048.125
2026-01-12,176.198
2026-01-14,35.26
2026-01-15,1606.961
2026-01-28,324.006
2026-02-02,5410.296
2026-02-04,1611.327
2026-02-16,4217.722
2026-02-25,5051.545
2026-02-26,177.203
2026-03-02,7555.443
2026-03-04,534.36
2026-03-05,148.821
2026-03-11,407.0
2026-03-13,147.803
2026-03-16,1336.073
2026-03-19,475.0
2026-04-01,3147.665
2026-04-06,576.36
2026-04-10,176.198
2026-04-13,1211.5
2026-04-15,570.731
2026-04-16,162.055
2026-04-20,768.0
2026-04-22,13.025
2026-04-27,9096.65
2026-04-28,129.516
2026-04-30,1140.861
2026-05-01,979.041
2026-05-04,22.5
2026-05-14,94.022
2026-05-15,2657.133
2026-05-18,22.251
2026-05-21,17.735
2026-05-22,95.956
2026-05-25,17171.974
2026-06-01,1719.547
2026-06-04,123.835
2026-06-05,148.821
2026-06-10,413.39
2026-06-15,1434.254
2026-06-18,551.0
2026-06-25,1370.916
2026-06-29,75.52
2026-07-01,1086.218
2026-07-06,7770.28
2026-07-10,176.198
2026-07-13,133.934
2026-07-14,35.26
2026-07-15,1360.718
2026-07-27,1903.326
2026-07-28,107.718
2026-08-03,5839.955
2026-08-14,94.022
2026-08-17,8036.264
2026-08-25,324.865
2026-08-26,177.203
2026-08-28,410.388
2026-09-01,6904.668
2026-09-07,148.821
2026-09-10,105.447
