date,ILM.D.U2.C.L020200.U2.EUR
2018-09-11,671144.0
2018-09-12,660361.0
2018-09-13,646967.0
2018-09-14,662115.0
2018-09-17,670399.0
2018-09-18,658355.0
2018-09-19,614441.0
2018-09-20,619163.0
2018-09-21,654462.0
2018-09-24,639252.0
2018-09-25,639788.0
2018-09-26,648272.0
2018-09-27,635360.0
2018-09-28,639516.0
2018-10-01,643963.0
2018-10-02,641059.0
2018-10-03,636557.0
2018-10-04,647921.0
2018-10-05,641371.0
2018-10-08,644616.0
2018-10-09,642142.0
2018-10-10,654747.0
2018-10-11,652500.0
2018-10-12,654703.0
2018-10-15,647295.0
2018-10-16,644509.0
2018-10-17,634594.0
2018-10-18,617932.0
2018-10-19,619664.0
2018-10-22,618044.0
2018-10-23,608951.0
2018-10-24,597677.0
2018-10-25,585666.0
2018-10-26,591525.0
2018-10-29,607308.0
2018-10-30,610028.0
2018-10-31,618481.0
2018-11-01,591684.0
2018-11-02,617415.0
2018-11-05,633276.0
2018-11-06,627631.0
2018-11-07,624378.0
2018-11-08,651016.0
2018-11-09,650780.0
2018-11-12,638334.0
2018-11-13,642873.0
2018-11-14,630602.0
2018-11-15,571105.0
2018-11-16,623810.0
2018-11-19,632147.0
2018-11-20,636811.0
2018-11-21,642067.0
2018-11-22,627086.0
2018-11-23,628773.0
2018-11-26,634510.0
2018-11-27,621496.0
2018-11-28,624879.0
2018-11-29,635573.0
2018-11-30,654824.0
2018-12-03,655933.0
2018-12-04,656806.0
2018-12-05,657096.0
2018-12-06,662859.0
2018-12-07,654218.0
2018-12-10,646203.0
2018-12-11,656520.0
2018-12-12,642923.0
2018-12-13,639448.0
2018-12-14,630848.0
2018-12-17,642674.0
2018-12-18,635054.0
2018-12-19,584205.0
2018-12-20,621765.0
2018-12-21,613912.0
2018-12-24,612344.0
2018-12-25,612344.0
2018-12-26,612344.0
2018-12-27,622120.0
2018-12-28,613563.0
2018-12-31,623531.0
2019-01-01,623531.0
2019-01-02,654197.0
2019-01-03,663294.0
2019-01-04,666430.0
2019-01-07,642703.0
2019-01-08,667213.0
2019-01-09,658508.0
2019-01-10,670889.0
2019-01-11,669525.0
2019-01-14,671396.0
2019-01-15,664788.0
2019-01-16,643605.0
2019-01-17,640559.0
2019-01-18,637776.0
2019-01-21,641856.0
2019-01-22,640521.0
2019-01-23,652799.0
2019-01-24,640239.0
2019-01-25,640205.0
2019-01-28,641975.0
2019-01-29,648349.0
2019-01-30,590631.0
2019-01-31,644921.0
2019-02-01,673020.0
2019-02-04,671108.0
2019-02-05,652698.0
2019-02-06,655427.0
2019-02-07,657394.0
2019-02-08,658593.0
2019-02-11,662583.0
2019-02-12,660772.0
2019-02-13,646723.0
2019-02-14,629464.0
2019-02-15,634930.0
2019-02-18,629698.0
2019-02-19,631183.0
2019-02-20,594939.0
2019-02-21,626398.0
2019-02-22,634081.0
