date,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_2Y
2018-09-11,-0.561004628760049
2018-09-12,-0.5725057998482903
2018-09-13,-0.5679983741827668
2018-09-14,-0.5605720978127957
2018-09-17,-0.5514205114784421
2018-09-18,-0.5480354212514795
2018-09-19,-0.5453190145078155
2018-09-20,-0.5463463582445698
2018-09-21,-0.5571499695156126
2018-09-24,-0.5290102733464952
2018-09-25,-0.5211293884071297
2018-09-26,-0.5157521617244587
2018-09-27,-0.5171137323607828
2018-09-28,-0.5451433434200164
2018-10-01,-0.5466704212058655
2018-10-02,-0.5704635753485761
2018-10-03,-0.5572971496887638
2018-10-04,-0.5297809212467302
2018-10-05,-0.5300351284536937
2018-10-08,-0.5500029298457063
2018-10-09,-0.5508205539154529
2018-10-10,-0.534916618210934
2018-10-11,-0.5539960487259332
2018-10-12,-0.5687641720501739
2018-10-15,-0.5833541936704076
2018-10-16,-0.5852766797722095
2018-10-17,-0.5947330359118119
2018-10-18,-0.6061157247970304
2018-10-19,-0.6247621572754296
2018-10-22,-0.6096870309051292
2018-10-23,-0.619352158791024
2018-10-24,-0.6341105563889098
2018-10-25,-0.6350254888267433
2018-10-26,-0.6481863012177884
2018-10-29,-0.6344201329319574
2018-10-30,-0.6438386102317661
2018-10-31,-0.6299003250758028
2018-11-01,-0.6266445653498973
2018-11-02,-0.6241776021057177
2018-11-05,-0.6213209064226781
2018-11-06,-0.6182093225577026
2018-11-07,-0.5962768519598081
2018-11-08,-0.5985169949965838
2018-11-09,-0.6106086090793141
2018-11-12,-0.6206777931295688
2018-11-13,-0.6130013629351634
2018-11-14,-0.6117279331919923
2018-11-15,-0.6371934039544875
2018-11-16,-0.6331055645632961
2018-11-19,-0.6191972026062453
2018-11-20,-0.6307478425139985
2018-11-21,-0.6206905403776748
2018-11-22,-0.6150929514665568
2018-11-23,-0.6247578415630235
2018-11-26,-0.6116244687822103
2018-11-27,-0.624315731971878
2018-11-28,-0.6209453830514065
2018-11-29,-0.6346030542044003
2018-11-30,-0.6361893579852991
2018-12-03,-0.6340272104831399
2018-12-04,-0.6435197543158413
2018-12-05,-0.644105177996507
2018-12-06,-0.6593980870196914
2018-12-07,-0.6348795403011307
2018-12-10,-0.6109071935660184
2018-12-11,-0.6346566482785274
2018-12-12,-0.6178571174571239
2018-12-13,-0.6284936718746907
2018-12-14,-0.6441758730400409
2018-12-17,-0.6459667389600536
2018-12-18,-0.6482181008316523
2018-12-19,-0.6410470086646924
2018-12-20,-0.6411363859472017
2018-12-21,-0.6503375628094847
2018-12-27,-0.6574296853226222
2018-12-28,-0.6582477614142714
2019-01-02,-0.6696859306575575
2019-01-03,-0.6550761563498511
2019-01-04,-0.6349525512673866
2019-01-07,-0.6210712528190978
2019-01-08,-0.6101836216718608
2019-01-09,-0.6082947462457859
2019-01-10,-0.6188518735302635
2019-01-11,-0.6194097620120438
2019-01-14,-0.6226261163658182
2019-01-15,-0.6336027071066317
2019-01-16,-0.6230697436777972
2019-01-17,-0.6143232553539337
2019-01-18,-0.613590144100681
2019-01-21,-0.6073630554484319
2019-01-22,-0.6105981297848508
2019-01-23,-0.6079165653292922
2019-01-24,-0.6023392609377192
