date,IRS.M.FR.L.L40.CI.0000.EUR.N.Z
2014-10-01,1.26
2014-11-01,1.14
2014-12-01,0.92
2015-01-01,0.67
2015-02-01,0.6
2015-03-01,0.51
2015-04-01,0.44
2015-05-01,0.89
2015-06-01,1.2
2015-07-01,1.11
2015-08-01,1.01
2015-09-01,1.0
2015-10-01,0.87
2015-11-01,0.88
2015-12-01,0.93
2016-01-01,0.84
2016-02-01,0.59
2016-03-01,0.51
2016-04-01,0.51
2016-05-01,0.51
2016-06-01,0.39
2016-07-01,0.17
2016-08-01,0.15
2016-09-01,0.18
2016-10-01,0.33
2016-11-01,0.67
2016-12-01,0.75
2017-01-01,0.86
2017-02-01,1.03
2017-03-01,1.02
2017-04-01,0.88
2017-05-01,0.81
2017-06-01,0.66
2017-07-01,0.84
2017-08-01,0.71
2017-09-01,0.7
2017-10-01,0.81
2017-11-01,0.72
2017-12-01,0.67
2018-01-01,0.85
2018-02-01,0.98
2018-03-01,0.83
2018-04-01,0.78
2018-05-01,0.79
2018-06-01,0.75
2018-07-01,0.67
2018-08-01,0.7
2018-09-01,0.77
2018-10-01,0.82
2018-11-01,0.76
2018-12-01,0.7
2019-01-01,0.65
2019-02-01,0.55
2019-03-01,0.44
2019-04-01,0.37
2019-05-01,0.3
2019-06-01,0.08
2019-07-01,-0.07
2019-08-01,-0.34
2019-09-01,-0.27
2019-10-01,-0.16
2019-11-01,-0.02
2019-12-01,0.04
2020-01-01,-0.01
2020-02-01,-0.18
2020-03-01,-0.05
2020-04-01,0.06
2020-05-01,-0.03
2020-06-01,-0.04
2020-07-01,-0.15
2020-08-01,-0.17
2020-09-01,-0.21
2020-10-01,-0.3
2020-11-01,-0.32
2020-12-01,-0.34
2021-01-01,-0.31
2021-02-01,-0.15
2021-03-01,-0.07
2021-04-01,-0.01
2021-05-01,0.21
2021-06-01,0.15
2021-07-01,-0.01
2021-08-01,-0.12
2021-09-01,0.04
2021-10-01,0.2
2021-11-01,0.1
2021-12-01,0.05
2022-01-01,0.31
2022-02-01,0.68
2022-03-01,0.78
2022-04-01,1.28
2022-05-01,1.52
2022-06-01,2.06
2022-07-01,1.71
2022-08-01,1.69
2022-09-01,2.41
2022-10-01,2.77
2022-11-01,2.58
2022-12-01,2.62
2023-01-01,2.69
2023-02-01,2.87
2023-03-01,2.92
2023-04-01,2.9
2023-05-01,2.94
2023-06-01,2.93
2023-07-01,3.04
2023-08-01,3.11
2023-09-01,3.24
2023-10-01,3.45
2023-11-01,3.19
2023-12-01,2.65
2024-01-01,2.74
2024-02-01,2.85
2024-03-01,2.82
2024-04-01,2.97
2024-05-01,3.03
2024-06-01,3.15
2024-07-01,3.14
2024-08-01,2.94
2024-09-01,2.9
2024-10-01,2.99
2024-11-01,3.09
2024-12-01,3.01
2025-01-01,3.32
2025-02-01,3.15
2025-03-01,3.43
2025-04-01,3.26
2025-05-01,3.26
2025-06-01,3.24
2025-07-01,3.36
2025-08-01,3.42
2025-09-01,3.51
2025-10-01,3.44
2025-11-01,3.44
2025-12-01,3.56
2026-01-01,3.53
2026-02-01,3.4
2026-03-01,3.64
2026-04-01,3.73
2026-05-01,3.74
2026-06-01,3.68
2026-07-01,3.85
2026-08-01,4.0
