date,ILM.W.U2.C.A080000.U2.EUR
2014-09-19,26709.0
2014-09-26,26709.0
2014-10-03,26727.0
2014-10-10,26727.0
2014-10-17,26727.0
2014-10-24,26727.0
2014-10-31,26727.0
2014-11-07,26727.0
2014-11-14,26727.0
2014-11-21,26727.0
2014-11-28,26727.0
2014-12-05,26727.0
2014-12-12,26727.0
2014-12-19,26726.0
2014-12-26,26726.0
2015-01-02,26715.0
2015-01-09,26715.0
2015-01-16,26715.0
2015-01-23,26715.0
2015-01-30,26715.0
2015-02-06,26665.0
2015-02-13,26665.0
2015-02-20,26665.0
2015-02-27,26665.0
2015-03-06,26665.0
2015-03-13,26665.0
2015-03-20,26665.0
2015-03-27,26665.0
2015-04-03,26718.0
2015-04-10,26718.0
2015-04-17,26718.0
2015-04-24,26718.0
2015-05-01,25748.0
2015-05-08,25748.0
2015-05-15,25748.0
2015-05-22,25748.0
2015-05-29,25742.0
2015-06-05,25742.0
2015-06-12,25742.0
2015-06-19,25742.0
2015-06-26,25742.0
2015-07-03,25699.0
2015-07-10,25643.0
2015-07-17,25643.0
2015-07-24,25173.0
2015-07-31,25173.0
2015-08-07,25173.0
2015-08-14,25177.0
2015-08-21,25177.0
2015-08-28,25177.0
2015-09-04,25177.0
2015-09-11,25177.0
2015-09-18,25177.0
2015-09-25,25177.0
2015-10-02,25152.0
2015-10-09,25152.0
2015-10-16,25152.0
2015-10-23,25152.0
2015-10-30,25152.0
2015-11-06,25152.0
2015-11-13,25152.0
2015-11-20,25152.0
2015-11-27,25152.0
2015-12-04,25152.0
2015-12-11,25152.0
2015-12-18,25151.0
2015-12-25,25151.0
2016-01-01,25145.0
2016-01-08,25145.0
2016-01-15,25145.0
2016-01-22,25145.0
2016-01-29,25145.0
2016-02-05,27065.0
2016-02-12,27065.0
2016-02-19,27065.0
2016-02-26,27065.0
2016-03-04,27065.0
2016-03-11,27065.0
2016-03-18,27065.0
2016-03-25,27065.0
2016-04-01,26985.0
2016-04-08,26985.0
2016-04-15,26985.0
2016-04-22,26985.0
2016-04-29,26979.0
2016-05-06,26979.0
2016-05-13,26979.0
2016-05-20,26979.0
2016-05-27,26979.0
2016-06-03,26979.0
2016-06-10,26984.0
2016-06-17,26984.0
2016-06-24,26984.0
2016-07-01,26535.0
2016-07-08,26477.0
2016-07-15,26477.0
2016-07-22,26477.0
2016-07-29,26477.0
2016-08-05,26477.0
2016-08-12,26477.0
2016-08-19,26477.0
2016-08-26,26477.0
2016-09-02,26477.0
2016-09-09,26477.0
2016-09-16,26477.0
2016-09-23,26477.0
2016-09-30,26439.0
2016-10-07,26439.0
2016-10-14,26439.0
2016-10-21,26439.0
2016-10-28,26439.0
2016-11-04,26439.0
2016-11-11,26439.0
2016-11-18,26439.0
2016-11-25,26439.0
2016-12-02,26439.0
2016-12-09,26439.0
2016-12-16,26437.0
2016-12-23,26437.0
2016-12-30,26460.0
2017-01-06,26460.0
2017-01-13,26460.0
2017-01-20,26460.0
2017-01-27,26460.0
2017-02-03,26410.0
2017-02-10,26410.0
2017-02-17,26410.0
2017-02-24,26410.0
2017-03-03,26410.0
2017-03-10,26410.0
2017-03-17,26410.0
2017-03-24,26410.0
2017-03-31,26372.0
2017-04-07,26372.0
2017-04-14,26372.0
2017-04-21,26372.0
2017-04-28,26372.0
2017-05-05,26372.0
2017-05-12,26372.0
2017-05-19,26372.0
2017-05-26,26372.0
2017-06-02,26372.0
2017-06-09,26372.0
2017-06-16,26372.0
2017-06-23,26372.0
2017-06-30,25788.0
2017-07-07,25729.0
2017-07-14,25735.0
2017-07-21,25735.0
2017-07-28,25735.0
2017-08-04,25735.0
2017-08-11,25735.0
2017-08-18,25735.0
2017-08-25,25735.0
2017-09-01,25735.0
2017-09-08,25735.0
2017-09-15,25735.0
2017-09-22,25735.0
2017-09-29,25673.0
2017-10-06,25673.0
2017-10-13,25673.0
2017-10-20,25673.0
2017-10-27,25673.0
2017-11-03,25673.0
2017-11-10,25058.0
2017-11-17,25058.0
2017-11-24,25058.0
2017-12-01,25058.0
2017-12-08,25058.0
2017-12-15,25056.0
2017-12-22,25056.0
2017-12-29,25015.0
2018-01-05,25015.0
2018-01-12,25015.0
2018-01-19,25015.0
2018-01-26,25015.0
2018-02-02,24966.0
2018-02-09,24966.0
2018-02-16,24966.0
2018-02-23,24966.0
2018-03-02,24966.0
2018-03-09,24966.0
2018-03-16,24966.0
2018-03-23,24966.0
2018-03-30,24925.0
2018-04-06,24925.0
2018-04-13,24925.0
2018-04-20,24925.0
2018-04-27,24925.0
2018-05-04,24925.0
2018-05-11,24925.0
2018-05-18,24925.0
2018-05-25,24925.0
2018-06-01,24925.0
