date,BLS.Q.U2.ALL.O.E.Z.B3.ST.S.WFNET
2014-12-31,-2.466650925270227
2015-03-31,-5.1258701442304035
2015-06-30,-9.076344495905312
2015-09-30,-4.220428371115519
2015-12-31,-3.208702275902039
2016-03-31,-3.4814501645629887
2016-06-30,-4.7454584669062205
2016-09-30,-5.204232548913698
2016-12-31,0.0989659138245495
2017-03-31,1.88011366874346
2017-06-30,-1.6602359454341766
2017-09-30,-3.3741207019493054
2017-12-31,-1.0706193447335535
2018-03-31,-0.38621272388829386
2018-06-30,-5.315431213844239
2018-09-30,-3.377088300272283
2018-12-31,-4.764898743549705
2019-03-31,0.16024368507710615
2019-06-30,-1.6589705498458531
2019-09-30,5.822897087005834
2019-12-31,0.1413151717362206
2020-03-31,3.219485657305357
2020-06-30,4.854764039972927
2020-09-30,-5.249547492751345
2020-12-31,14.478227286733016
2021-03-31,13.084388348500848
2021-06-30,6.527907132447717
2021-09-30,-0.9984676080655269
2021-12-31,0.9767617019864656
2022-03-31,1.5499212030984049
2022-06-30,6.48250939656996
2022-09-30,15.6037498811582
2022-12-31,19.3921296549969
2023-03-31,27.0937252433758
2023-06-30,27.221421765742917
2023-09-30,14.149633623884348
2023-12-31,11.732531542773643
2024-03-31,4.406612818920974
2024-06-30,3.2799165786311537
2024-09-30,2.542823872043146
2024-12-31,0.1326635920790095
2025-03-31,7.0497383992199385
2025-06-30,2.9022939077480023
2025-09-30,-1.4184499749805128
2025-12-31,4.181650332193739
2026-03-31,6.594182567260878
2026-06-30,10.093858121838787
2026-09-30,7.294703918588041
