date,ILM.W.U2.C.A050200.U2.EUR
2014-09-19,366304.0
2014-09-26,429593.0
2014-10-03,424724.0
2014-10-10,422436.0
2014-10-17,416581.0
2014-10-24,410759.0
2014-10-31,408472.0
2014-11-07,404622.0
2014-11-14,398190.0
2014-11-21,396240.0
2014-11-28,398800.0
2014-12-05,392936.0
2014-12-12,378895.0
2014-12-19,480356.0
2014-12-26,473285.0
2015-01-02,473285.0
2015-01-09,473285.0
2015-01-16,459130.0
2015-01-23,445266.0
2015-01-30,415608.0
2015-02-06,404788.0
2015-02-13,395402.0
2015-02-20,379223.0
2015-02-27,322959.0
2015-03-06,322959.0
2015-03-13,322959.0
2015-03-20,322959.0
2015-03-27,417558.0
2015-04-03,417558.0
2015-04-10,417558.0
2015-04-17,417558.0
2015-04-24,417558.0
2015-05-01,408748.0
2015-05-08,408748.0
2015-05-15,408748.0
2015-05-22,408748.0
2015-05-29,395367.0
2015-06-05,395367.0
2015-06-12,395367.0
2015-06-19,395367.0
2015-06-26,467096.0
2015-07-03,467096.0
2015-07-10,467096.0
2015-07-17,467096.0
2015-07-24,467096.0
2015-07-31,463525.0
2015-08-07,463525.0
2015-08-14,463525.0
2015-08-21,463525.0
2015-08-28,456227.0
2015-09-04,456227.0
2015-09-11,456227.0
2015-09-18,456227.0
2015-09-25,456227.0
2015-10-02,466348.0
2015-10-09,466348.0
2015-10-16,466348.0
2015-10-23,466348.0
2015-10-30,462721.0
2015-11-06,462721.0
2015-11-13,462721.0
2015-11-20,462721.0
2015-11-27,451371.0
2015-12-04,451371.0
2015-12-11,451371.0
2015-12-18,469543.0
2015-12-25,469543.0
2016-01-01,469543.0
2016-01-08,469543.0
2016-01-15,469543.0
2016-01-22,469543.0
2016-01-29,464980.0
2016-02-05,464980.0
2016-02-12,464880.0
2016-02-19,464880.0
2016-02-26,456744.0
2016-03-04,456744.0
2016-03-11,456744.0
2016-03-18,456744.0
2016-03-25,456744.0
2016-04-01,462731.0
2016-04-08,462706.0
2016-04-15,462706.0
2016-04-22,462706.0
2016-04-29,458532.0
2016-05-06,458532.0
2016-05-13,458532.0
2016-05-20,458532.0
2016-05-27,451177.0
2016-06-03,451177.0
2016-06-10,451177.0
2016-06-17,451177.0
2016-06-24,451177.0
2016-07-01,486799.0
2016-07-08,486799.0
2016-07-15,486799.0
2016-07-22,486799.0
2016-07-29,483982.0
2016-08-05,483982.0
2016-08-12,483982.0
2016-08-19,483982.0
2016-08-26,483982.0
2016-09-02,482726.0
2016-09-09,482726.0
2016-09-16,482726.0
2016-09-23,482726.0
2016-09-30,513797.0
2016-10-07,513797.0
2016-10-14,513797.0
2016-10-21,513797.0
2016-10-28,512214.0
2016-11-04,512214.0
2016-11-11,512214.0
2016-11-18,512214.0
2016-11-25,512214.0
2016-12-02,510468.0
2016-12-09,510468.0
2016-12-16,510468.0
2016-12-23,556570.0
2016-12-30,556570.0
2017-01-06,556570.0
2017-01-13,556570.0
2017-01-20,556570.0
2017-01-27,554494.0
2017-02-03,554494.0
2017-02-10,554494.0
2017-02-17,554494.0
2017-02-24,553809.0
2017-03-03,553809.0
2017-03-10,553809.0
2017-03-17,553809.0
2017-03-24,553809.0
2017-03-31,769185.0
2017-04-07,769185.0
2017-04-14,769185.0
2017-04-21,769185.0
2017-04-28,767304.0
2017-05-05,767304.0
2017-05-12,767304.0
2017-05-19,767304.0
2017-05-26,767304.0
2017-06-02,767770.0
2017-06-09,767770.0
2017-06-16,767770.0
2017-06-23,767770.0
2017-06-30,767314.0
2017-07-07,767314.0
2017-07-14,767314.0
2017-07-21,767314.0
2017-07-28,768704.0
2017-08-04,768704.0
2017-08-11,768704.0
2017-08-18,768704.0
2017-08-25,768704.0
