date,ILM.D.U2.C.L020100.U2.EUR
2018-09-11,1355022.0
2018-09-12,1375598.0
2018-09-13,1384103.0
2018-09-14,1350958.0
2018-09-17,1337791.0
2018-09-18,1335902.0
2018-09-19,1374200.0
2018-09-20,1358634.0
2018-09-21,1333451.0
2018-09-24,1337070.0
2018-09-25,1345956.0
2018-09-26,1333517.0
2018-09-27,1332121.0
2018-09-28,1311864.0
2018-10-01,1350063.0
2018-10-02,1355731.0
2018-10-03,1379014.0
2018-10-04,1377062.0
2018-10-05,1381587.0
2018-10-08,1375138.0
2018-10-09,1384920.0
2018-10-10,1369770.0
2018-10-11,1367012.0
2018-10-12,1378925.0
2018-10-15,1384810.0
2018-10-16,1371760.0
2018-10-17,1373351.0
2018-10-18,1389117.0
2018-10-19,1379661.0
2018-10-22,1378276.0
2018-10-23,1384969.0
2018-10-24,1395858.0
2018-10-25,1415488.0
2018-10-26,1405462.0
2018-10-29,1405052.0
2018-10-30,1385663.0
2018-10-31,1403541.0
2018-11-01,1438796.0
2018-11-02,1433020.0
2018-11-05,1421006.0
2018-11-06,1424584.0
2018-11-07,1428408.0
2018-11-08,1402911.0
2018-11-09,1403153.0
2018-11-12,1397748.0
2018-11-13,1387208.0
2018-11-14,1389972.0
2018-11-15,1439557.0
2018-11-16,1362088.0
2018-11-19,1356477.0
2018-11-20,1352929.0
2018-11-21,1341811.0
2018-11-22,1356142.0
2018-11-23,1353310.0
2018-11-26,1354196.0
2018-11-27,1358792.0
2018-11-28,1361759.0
2018-11-29,1353142.0
2018-11-30,1352519.0
2018-12-03,1374235.0
2018-12-04,1371940.0
2018-12-05,1382522.0
2018-12-06,1366303.0
2018-12-07,1375461.0
2018-12-10,1385803.0
2018-12-11,1364498.0
2018-12-12,1375307.0
2018-12-13,1377976.0
2018-12-14,1364143.0
2018-12-17,1344336.0
2018-12-18,1345870.0
2018-12-19,1397420.0
2018-12-20,1371742.0
2018-12-21,1364668.0
2018-12-24,1345521.0
2018-12-25,1345521.0
2018-12-26,1345521.0
2018-12-27,1319020.0
2018-12-28,1299746.0
2018-12-31,1230153.0
2019-01-01,1230153.0
2019-01-02,1242392.0
2019-01-03,1277926.0
2019-01-04,1304840.0
2019-01-07,1347433.0
2019-01-08,1324956.0
2019-01-09,1349662.0
2019-01-10,1337375.0
2019-01-11,1356604.0
2019-01-14,1345116.0
2019-01-15,1354431.0
2019-01-16,1358847.0
2019-01-17,1356879.0
2019-01-18,1350408.0
2019-01-21,1340678.0
2019-01-22,1331909.0
2019-01-23,1321934.0
2019-01-24,1339071.0
2019-01-25,1344795.0
2019-01-28,1339531.0
2019-01-29,1333121.0
2019-01-30,1380316.0
2019-01-31,1353931.0
2019-02-01,1341910.0
2019-02-04,1347728.0
2019-02-05,1348195.0
2019-02-06,1354441.0
2019-02-07,1360636.0
2019-02-08,1366238.0
2019-02-11,1355776.0
2019-02-12,1352889.0
2019-02-13,1363224.0
2019-02-14,1367729.0
2019-02-15,1342179.0
2019-02-18,1340743.0
2019-02-19,1335069.0
2019-02-20,1375870.0
2019-02-21,1335727.0
2019-02-22,1336978.0
2019-02-25,1378340.0
2019-02-26,1344724.0
2019-02-27,1446822.0
2019-02-28,1348198.0
2019-03-01,1380246.0
2019-03-04,1370794.0
2019-03-05,1366783.0
2019-03-06,1381988.0
2019-03-07,1403789.0
2019-03-08,1412762.0
2019-03-11,1398364.0
2019-03-12,1369517.0
2019-03-13,1417411.0
2019-03-14,1406175.0
2019-03-15,1403450.0
2019-03-18,1376440.0
2019-03-19,1365389.0
2019-03-20,1353480.0
2019-03-21,1357292.0
2019-03-22,1351432.0
2019-03-25,1354538.0
2019-03-26,1347677.0
2019-03-27,1348138.0
2019-03-28,1358088.0
2019-03-29,1348860.0
2019-04-01,1378413.0
2019-04-02,1384898.0
2019-04-03,1400793.0
2019-04-04,1390854.0
2019-04-05,1401739.0
2019-04-08,1379957.0
2019-04-09,1389050.0
2019-04-10,1396063.0
2019-04-11,1388384.0
2019-04-12,1396763.0
2019-04-15,1387601.0
2019-04-16,1378499.0
2019-04-17,1448924.0
2019-04-18,1393906.0
2019-04-19,1393906.0
2019-04-22,1393913.0
2019-04-23,1397108.0
2019-04-24,1366278.0
2019-04-25,1366254.0
2019-04-26,1378837.0
2019-04-29,1363808.0
2019-04-30,1383316.0
2019-05-01,1383316.0
2019-05-02,1420317.0
2019-05-03,1403856.0
2019-05-06,1416256.0
2019-05-07,1424196.0
2019-05-08,1434715.0
2019-05-09,1442907.0
2019-05-10,1435941.0
2019-05-13,1426829.0
2019-05-14,1427259.0
2019-05-15,1430490.0
2019-05-16,1404887.0
2019-05-17,1393651.0
2019-05-20,1376302.0
2019-05-21,1379190.0
2019-05-22,1397134.0
2019-05-23,1386583.0
2019-05-24,1395985.0
2019-05-27,1391630.0
2019-05-28,1392799.0
2019-05-29,1393760.0
2019-05-30,1414348.0
2019-05-31,1388545.0
2019-06-03,1413650.0
2019-06-04,1415752.0
2019-06-05,1433223.0
2019-06-06,1429612.0
2019-06-07,1441147.0
2019-06-10,1414325.0
2019-06-11,1400441.0
2019-06-12,1434154.0
2019-06-13,1412892.0
2019-06-14,1419212.0
2019-06-17,1360432.0
2019-06-18,1371883.0
2019-06-19,1355041.0
2019-06-20,1347526.0
2019-06-21,1341654.0
