issuer,kind,isin,auction,settlement,maturity,nominal,cash,cover,yield,source
FR,bill,FR0100662503,1999-04-19,1999-04-22,1999-07-22,1141.0,1141.0,5.05,2.481,aft_hist_btf
FR,bill,FR0100802067,1999-04-19,1999-04-22,1999-06-17,751.0,751.0,3.81,2.467,aft_hist_btf
FR,bond,FR0100802273,1999-04-15,1999-04-22,2004-07-12,1531.0,1548.76,3.52,3.25,aft_hist_mlt
FR,bond,FR0100877812,1999-04-15,1999-04-22,2001-07-12,1627.0,1633.02,4.02,2.82,aft_hist_mlt
FR,bill,FR0100662511,1999-04-26,1999-04-29,2000-04-27,1048.0,1048.0,3.48,2.563,aft_hist_btf
FR,bill,FR0100662859,1999-04-26,1999-04-29,1999-07-29,508.0,508.0,4.96,2.437,aft_hist_btf
FR,bill,FR0100802091,1999-04-26,1999-04-29,1999-06-24,517.0,517.0,3.8,2.459,aft_hist_btf
DE,bond,DE0001135119,1999-04-28,1999-04-30,2009-07-04,4256.5,4303.747,3.5,3.86,finanzagentur
FR,bill,FR0100662487,1999-05-03,1999-05-06,1999-10-28,1027.0,1027.0,3.86,2.507,aft_hist_btf
FR,bill,FR0100662529,1999-05-03,1999-05-06,1999-08-05,1265.0,1265.0,3.42,2.46,aft_hist_btf
FR,bill,FR0100802067,1999-05-03,1999-05-06,1999-06-17,803.0,803.0,3.38,2.469,aft_hist_btf
FR,bond,FR0000186199,1999-05-06,1999-05-12,2009-10-25,3021.0,3000.457,2.52,4.08,aft_hist_mlt
FR,bond,FR0000571424,1999-05-06,1999-05-12,2009-07-25,571.0,583.448,2.89,2.75,aft_hist_mlt
FR,bill,FR0100662511,1999-05-10,1999-05-12,2000-04-27,853.0,853.0,3.41,2.568,aft_hist_btf
FR,bill,FR0100662537,1999-05-10,1999-05-12,1999-08-12,1205.0,1205.0,4.48,2.459,aft_hist_btf
FR,bill,FR0100802091,1999-05-10,1999-05-12,1999-06-24,1077.0,1077.0,4.15,2.479,aft_hist_btf
FR,bill,FR0100662479,1999-05-17,1999-05-20,1999-07-08,816.0,816.0,4.67,2.473,aft_hist_btf
FR,bill,FR0100662487,1999-05-17,1999-05-20,1999-10-28,624.0,624.0,4.63,2.497,aft_hist_btf
FR,bill,FR0100662545,1999-05-17,1999-05-20,1999-08-19,1208.0,1208.0,3.2,2.461,aft_hist_btf
DE,bond,DE0001141307,1999-05-19,1999-05-21,2004-02-17,5681.6,5665.692,3.0,3.31,finanzagentur
FR,bill,FR0100662511,1999-05-25,1999-05-27,2000-04-27,628.0,628.0,4.06,2.549,aft_hist_btf
FR,bill,FR0100662552,1999-05-25,1999-05-27,1999-08-26,1303.0,1303.0,4.6,2.452,aft_hist_btf
FR,bond,FR0100802273,1999-05-20,1999-05-27,2004-07-12,2016.0,2027.491,4.03,3.38,aft_hist_mlt
FR,bond,FR0100877812,1999-05-20,1999-05-27,2001-07-12,1457.0,1461.954,4.89,2.83,aft_hist_mlt
FR,bill,FR0100059643,1999-05-31,1999-06-03,1999-09-02,804.0,804.0,5.22,2.472,aft_hist_btf
FR,bill,FR0100662560,1999-05-31,1999-06-03,1999-12-23,804.0,804.0,4.33,2.509,aft_hist_btf
FR,bond,FR0000186199,1999-06-03,1999-06-10,2009-10-25,2522.0,2439.026,2.62,4.4,aft_hist_mlt
FR,bond,FR0000570673,1999-06-03,1999-06-10,2009-01-25,456.0,456.228,4.42,0.0,aft_hist_mlt
FR,bill,FR0100662560,1999-06-07,1999-06-10,1999-12-23,539.0,539.0,6.36,2.551,aft_hist_btf
FR,bill,FR0100802026,1999-06-07,1999-06-10,1999-09-09,742.0,742.0,5.9,2.472,aft_hist_btf
FR,bill,FR0100662511,1999-06-14,1999-06-17,2000-04-27,538.0,538.0,4.04,2.677,aft_hist_btf
FR,bill,FR0100662578,1999-06-14,1999-06-17,1999-09-16,848.0,848.0,5.64,2.466,aft_hist_btf
DE,bond,DE0001136869,1999-06-16,1999-06-18,2001-06-15,4754.3,4755.251,5.8,2.99,finanzagentur
FR,bill,FR0100662560,1999-06-21,1999-06-24,1999-12-23,502.0,502.0,4.85,2.549,aft_hist_btf
FR,bill,FR0100662586,1999-06-21,1999-06-24,1999-09-23,1039.0,1039.0,4.68,2.457,aft_hist_btf
FR,bond,FR0100802273,1999-06-17,1999-06-24,2004-07-12,1821.0,1805.886,3.14,3.68,aft_hist_mlt
FR,bond,FR0100877812,1999-06-17,1999-06-24,2001-07-12,1526.0,1524.627,4.28,3.04,aft_hist_mlt
FR,bill,FR0100662511,1999-06-28,1999-07-01,2000-04-27,515.0,515.0,5.18,2.711,aft_hist_btf
FR,bill,FR0100662594,1999-06-28,1999-07-01,1999-09-30,1075.0,1075.0,5.1,2.444,aft_hist_btf
FR,bond,FR0000186199,1999-07-01,1999-07-08,2009-10-25,2829.0,2693.208,1.99,4.59,aft_hist_mlt
FR,bond,FR0000571218,1999-07-01,1999-07-08,2029-04-25,540.0,548.586,3.08,5.39,aft_hist_mlt
FR,bond,FR0000571424,1999-07-01,1999-07-08,2009-07-25,576.0,581.069,2.15,2.9,aft_hist_mlt
FR,bill,FR0100662560,1999-07-05,1999-07-08,1999-12-23,504.0,504.0,5.93,2.551,aft_hist_btf
FR,bill,FR0101208397,1999-07-05,1999-07-08,1999-10-07,1110.0,1110.0,4.5,2.436,aft_hist_btf
DE,bond,DE0001135127,1999-07-07,1999-07-09,2009-07-04,8166.4,8023.488,2.1,4.72,finanzagentur
FR,bill,FR0101208405,1999-07-12,1999-07-15,2000-07-13,900.0,900.0,2.75,2.835,aft_hist_btf
FR,bill,FR0101208413,1999-07-12,1999-07-15,1999-10-14,893.0,893.0,5.02,2.402,aft_hist_btf
DE,bill,DE0001114312,1999-07-14,1999-07-16,2000-01-14,4933.0,4871.633,4.2,2.4884,finanzagentur
FR,bond,FR0100802273,1999-07-15,1999-07-22,2004-07-12,1175.0,1148.21,4.26,4.01,aft_hist_mlt
FR,bond,FR0100877812,1999-07-15,1999-07-22,2001-07-12,1682.0,1676.786,3.5,3.16,aft_hist_mlt
FR,bill,FR0101208405,1999-07-19,1999-07-22,2000-07-13,563.0,563.0,5.14,2.917,aft_hist_btf
FR,bill,FR0101208421,1999-07-19,1999-07-22,1999-10-21,1084.0,1084.0,4.06,2.407,aft_hist_btf
DE,bond,DE0001135127,1999-07-21,1999-07-23,2009-07-04,4087.75,4038.697,3.2,4.65,finanzagentur
FR,bill,FR0100662487,1999-07-26,1999-07-29,1999-10-28,805.0,805.0,5.54,2.393,aft_hist_btf
FR,bill,FR0100802018,1999-07-26,1999-07-29,2000-02-17,507.0,507.0,4.75,2.666,aft_hist_btf
DE,bond,DE0001135127,1999-07-28,1999-07-30,2009-07-04,3963.4,3913.858,4.1,4.66,finanzagentur
FR,bill,FR0101208405,1999-08-02,1999-08-05,2000-07-13,550.0,550.0,4.13,3.018,aft_hist_btf
FR,bill,FR0101208439,1999-08-02,1999-08-05,1999-11-04,1025.0,1025.0,3.44,2.425,aft_hist_btf
FR,bond,FR0000186199,1999-08-05,1999-08-12,2009-10-25,2224.0,2033.181,1.54,5.1,aft_hist_mlt
FR,bond,FR0000571218,1999-08-05,1999-08-12,2029-04-25,495.0,480.051,1.46,5.71,aft_hist_mlt
FR,bill,FR0100802018,1999-08-09,1999-08-12,2000-02-17,525.0,525.0,3.58,2.766,aft_hist_btf
FR,bill,FR0101208454,1999-08-09,1999-08-12,1999-11-10,1056.0,1056.0,3.02,2.472,aft_hist_btf
FR,bill,FR0101208405,1999-08-18,1999-08-19,2000-07-13,566.0,566.0,4.08,3.026,aft_hist_btf
