date,BSI.M.U2.Y.U.A20T.A.I.U2.2240.Z01.A
2014-10-01,-2.044309053297799
2014-11-01,-1.823378743073556
2014-12-01,-1.5310480157104012
2015-01-01,-1.5277256991838795
2015-02-01,-1.1086821964110816
2015-03-01,-0.8344768038375139
2015-04-01,-0.7775860402492007
2015-05-01,-0.6072564577339179
2015-06-01,-0.4923702157356269
2015-07-01,-0.12210888174494228
2015-08-01,-0.04833957271667133
2015-09-01,0.09051989496167145
2015-10-01,0.3655412127642643
2015-11-01,0.6496602070559687
2015-12-01,0.5640460740612863
2016-01-01,1.1291580275379909
2016-02-01,1.5182645138296147
2016-03-01,1.3487650119905048
2016-04-01,1.5133991566046001
2016-05-01,1.770484252714466
2016-06-01,1.9195025089225437
2016-07-01,2.04614766700848
2016-08-01,2.028905923150459
2016-09-01,2.093258266742981
2016-10-01,2.181587682363717
2016-11-01,2.132758880114416
2016-12-01,2.3564769335199243
2017-01-01,2.3937184189543936
2017-02-01,2.0572383571063613
2017-03-01,2.461599966963046
2017-04-01,2.5292772416657616
2017-05-01,2.5291343781899123
2017-06-01,2.0797233703957696
2017-07-01,2.3654860336499883
2017-08-01,2.419530417326099
2017-09-01,2.54560578092915
2017-10-01,2.9129443608880257
2017-11-01,3.1510830494491326
2017-12-01,3.149252524301116
2018-01-01,3.5239028874411993
2018-02-01,3.3073115655774643
2018-03-01,3.3031861885554514
2018-04-01,3.3323498287858966
2018-05-01,3.689608009715384
2018-06-01,4.159612380004041
2018-07-01,4.13778808290346
2018-08-01,4.277519697740306
2018-09-01,4.466847831213894
2018-10-01,4.029073909290282
2018-11-01,4.1148743672584365
2018-12-01,4.065024446293064
2019-01-01,3.557227385540229
2019-02-01,3.959608827048622
2019-03-01,3.7466059129264595
2019-04-01,3.992615694742252
2019-05-01,3.9487262762885056
2019-06-01,3.9317333896778495
2019-07-01,3.9793212376311615
2019-08-01,4.180339415679657
2019-09-01,3.5865830484086647
2019-10-01,3.775976002343806
2019-11-01,3.418401954672645
2019-12-01,3.185929649212227
2020-01-01,3.1997510141251295
2020-02-01,2.988040153510263
2020-03-01,5.533075949880084
2020-04-01,6.656728377601295
2020-05-01,7.407747836609402
2020-06-01,7.15101404235472
2020-07-01,7.103388931539811
2020-08-01,7.163646837364213
2020-09-01,7.111190563559733
2020-10-01,6.842933712607979
2020-11-01,6.960308002457394
2020-12-01,7.094615503263113
2021-01-01,6.947826214256225
2021-02-01,7.081905636303398
2021-03-01,5.262766740181113
2021-04-01,3.20193824231807
2021-05-01,1.9864147565704204
2021-06-01,1.8885804950218077
2021-07-01,1.7487090093813107
2021-08-01,1.5516077795541205
2021-09-01,2.1030278941144287
2021-10-01,2.5803377865868837
2021-11-01,2.907152875584118
2021-12-01,4.299509970452209
2022-01-01,4.4916601105641
2022-02-01,4.613205776718221
2022-03-01,4.250910725602175
2022-04-01,5.388101616317753
2022-05-01,6.049342485859688
2022-06-01,6.9151198541059555
2022-07-01,7.624240221545819
2022-08-01,8.753887974873598
2022-09-01,8.89810287409334
2022-10-01,8.891888568179219
2022-11-01,8.313839434755966
2022-12-01,6.333498643665547
2023-01-01,6.196698907892739
2023-02-01,5.806994660844111
2023-03-01,5.296928893820008
2023-04-01,4.6896796786408235
2023-05-01,4.078443377471608
2023-06-01,3.088531969592534
2023-07-01,2.2767331006317004
2023-08-01,0.7212774519952836
2023-09-01,0.2179464361524941
2023-10-01,-0.24284481325127505
2023-11-01,0.034375636945971344
2023-12-01,0.4619135838526578
2024-01-01,0.2289762575007792
2024-02-01,0.31708643500840683
2024-03-01,0.32203643339132615
2024-04-01,0.2586727399510158
2024-05-01,0.33490586889308727
2024-06-01,0.7030097141198732
2024-07-01,0.6168612853952871
2024-08-01,1.0034099863034163
2024-09-01,1.3171382555229538
2024-10-01,1.3884419902456369
2024-11-01,1.168642794065966
2024-12-01,1.7196534590685042
2025-01-01,1.9911862713479112
2025-02-01,2.1069768903092756
2025-03-01,2.3834481359021886
2025-04-01,2.6204882884286462
2025-05-01,2.529631145143507
2025-06-01,2.7801560280267035
2025-07-01,2.859823088504232
2025-08-01,3.025267295861478
2025-09-01,2.8989458547890257
2025-10-01,2.9377009179809788
2025-11-01,3.1228005415971705
2025-12-01,3.0232495359158618
2026-01-01,2.8460341394893174
2026-02-01,2.9601403383726854
2026-03-01,3.153678839805285
2026-04-01,3.385380335282595
2026-05-01,3.9975250866735923
2026-06-01,4.0188736243144785
2026-07-01,4.3639082773958116
