date,EST.B.EU000A2QQF32.CR
2020-01-02,-0.54226
2020-01-03,-0.54213
2020-01-06,-0.54182
2020-01-07,-0.54144
2020-01-08,-0.54129
2020-01-09,-0.54111
2020-01-10,-0.54097
2020-01-13,-0.54074
2020-01-14,-0.54042
2020-01-15,-0.5403
2020-01-16,-0.54016
2020-01-17,-0.54003
2020-01-20,-0.53983
2020-01-21,-0.53959
2020-01-22,-0.53944
2020-01-23,-0.53931
2020-01-24,-0.5392
2020-01-27,-0.53902
2020-01-28,-0.53873
2020-01-29,-0.5386
2020-01-30,-0.53855
2020-01-31,-0.53848
2020-02-03,-0.53844
2020-02-04,-0.53809
2020-02-05,-0.53809
2020-02-06,-0.53804
2020-02-07,-0.538
2020-02-10,-0.53796
2020-02-11,-0.5379
2020-02-12,-0.5379
2020-02-13,-0.53794
2020-02-14,-0.53804
2020-02-17,-0.53804
2020-02-18,-0.538
2020-02-19,-0.53794
2020-02-20,-0.5379
2020-02-21,-0.53819
2020-02-24,-0.53816
2020-02-25,-0.53827
2020-02-26,-0.53833
2020-02-27,-0.5384
2020-02-28,-0.53845
2020-03-02,-0.53881
2020-03-03,-0.53882
2020-03-04,-0.53885
2020-03-05,-0.53886
2020-03-06,-0.53886
2020-03-09,-0.53886
2020-03-10,-0.53884
2020-03-11,-0.53881
2020-03-12,-0.53879
2020-03-13,-0.53875
2020-03-16,-0.53868
2020-03-17,-0.53861
2020-03-18,-0.53855
2020-03-19,-0.53843
2020-03-20,-0.53828
2020-03-23,-0.53775
2020-03-24,-0.53753
2020-03-25,-0.53741
2020-03-26,-0.53729
2020-03-27,-0.53683
2020-03-30,-0.53643
2020-03-31,-0.53629
2020-04-01,-0.53626
2020-04-02,-0.53615
2020-04-03,-0.53609
2020-04-06,-0.53616
2020-04-07,-0.53609
2020-04-08,-0.53602
2020-04-09,-0.53601
2020-04-14,-0.5359
2020-04-15,-0.53585
2020-04-16,-0.53582
2020-04-17,-0.5358
2020-04-20,-0.53583
2020-04-21,-0.53586
2020-04-22,-0.53593
2020-04-23,-0.53596
2020-04-24,-0.53599
2020-04-27,-0.53605
2020-04-28,-0.53606
2020-04-29,-0.53612
2020-04-30,-0.53615
2020-05-04,-0.53579
2020-05-05,-0.53587
2020-05-06,-0.5359
2020-05-07,-0.53598
2020-05-08,-0.53603
2020-05-11,-0.53616
2020-05-12,-0.53619
2020-05-13,-0.53622
2020-05-14,-0.53624
2020-05-15,-0.53628
2020-05-18,-0.5364
2020-05-19,-0.53647
2020-05-20,-0.53651
2020-05-21,-0.53659
2020-05-22,-0.53668
2020-05-25,-0.53665
2020-05-26,-0.53666
2020-05-27,-0.53668
2020-05-28,-0.53671
2020-05-29,-0.53675
2020-06-01,-0.53675
2020-06-02,-0.53685
2020-06-03,-0.53685
2020-06-04,-0.53686
2020-06-05,-0.5369
2020-06-08,-0.53708
2020-06-09,-0.53707
2020-06-10,-0.53711
2020-06-11,-0.53718
2020-06-12,-0.53723
2020-06-15,-0.53746
2020-06-16,-0.53746
2020-06-17,-0.53757
2020-06-18,-0.53771
2020-06-19,-0.53788
2020-06-22,-0.53825
2020-06-23,-0.5388
2020-06-24,-0.53901
2020-06-25,-0.53921
2020-06-26,-0.53943
2020-06-29,-0.53977
2020-06-30,-0.54016
2020-07-01,-0.54066
2020-07-02,-0.54089
2020-07-03,-0.54104
2020-07-06,-0.54137
2020-07-07,-0.54156
2020-07-08,-0.54175
2020-07-09,-0.5419
2020-07-10,-0.54197
2020-07-13,-0.54217
2020-07-14,-0.54265
2020-07-15,-0.54283
2020-07-16,-0.54301
2020-07-17,-0.54309
2020-07-20,-0.54351
2020-07-21,-0.54362
2020-07-22,-0.54371
2020-07-23,-0.54383
2020-07-24,-0.54395
2020-07-27,-0.54435
2020-07-28,-0.54449
2020-07-29,-0.5446
2020-07-30,-0.54471
2020-07-31,-0.54478
2020-08-03,-0.54557
2020-08-04,-0.54563
2020-08-05,-0.54571
2020-08-06,-0.54585
2020-08-07,-0.54597
2020-08-10,-0.54623
2020-08-11,-0.54651
2020-08-12,-0.54659
2020-08-13,-0.54669
2020-08-14,-0.5468
2020-08-17,-0.54691
2020-08-18,-0.54712
2020-08-19,-0.54726
2020-08-20,-0.54737
2020-08-21,-0.54746
2020-08-24,-0.54768
2020-08-25,-0.54803
2020-08-26,-0.54817
2020-08-27,-0.54831
2020-08-28,-0.54843
2020-08-31,-0.5486
2020-09-01,-0.54899
2020-09-02,-0.54908
2020-09-03,-0.54922
2020-09-04,-0.54931
2020-09-07,-0.54942
2020-09-08,-0.54963
2020-09-09,-0.5497
2020-09-10,-0.54983
2020-09-11,-0.54989
2020-09-14,-0.55001
2020-09-15,-0.55021
2020-09-16,-0.55025
2020-09-17,-0.55036
2020-09-18,-0.55046
2020-09-21,-0.55056
2020-09-22,-0.55074
2020-09-23,-0.55082
2020-09-24,-0.55089
2020-09-25,-0.55097
2020-09-28,-0.55109
2020-09-29,-0.55128
2020-09-30,-0.5514
2020-10-01,-0.55156
2020-10-02,-0.55167
2020-10-05,-0.5518
2020-10-06,-0.55194
2020-10-07,-0.55201
2020-10-08,-0.55206
2020-10-09,-0.55211
2020-10-12,-0.55215
2020-10-13,-0.55231
2020-10-14,-0.55235
2020-10-15,-0.5524
2020-10-16,-0.55245
2020-10-19,-0.55258
2020-10-20,-0.55265
2020-10-21,-0.55267
2020-10-22,-0.5527
2020-10-23,-0.55275
2020-10-26,-0.55277
2020-10-27,-0.55283
2020-10-28,-0.55286
2020-10-29,-0.5529
2020-10-30,-0.55289
2020-11-02,-0.55314
2020-11-03,-0.55315
2020-11-04,-0.55316
2020-11-05,-0.55324
2020-11-06,-0.55328
2020-11-09,-0.55342
2020-11-10,-0.5535
2020-11-11,-0.55353
2020-11-12,-0.55359
2020-11-13,-0.55355
2020-11-16,-0.55363
2020-11-17,-0.55384
2020-11-18,-0.55389
2020-11-19,-0.55392
2020-11-20,-0.55396
2020-11-23,-0.55405
2020-11-24,-0.5541
2020-11-25,-0.55415
2020-11-26,-0.55416
2020-11-27,-0.55418
2020-11-30,-0.55428
2020-12-01,-0.55441
2020-12-02,-0.55444
2020-12-03,-0.55445
2020-12-04,-0.55451
2020-12-07,-0.55461
2020-12-08,-0.55465
2020-12-09,-0.55472
2020-12-10,-0.55474
2020-12-11,-0.55476
2020-12-14,-0.55489
2020-12-15,-0.55493
2020-12-16,-0.55493
2020-12-17,-0.55494
2020-12-18,-0.55497
2020-12-21,-0.55517
2020-12-22,-0.55522
2020-12-23,-0.55529
2020-12-24,-0.55538
2020-12-28,-0.55543
2020-12-29,-0.55541
2020-12-30,-0.55542
2020-12-31,-0.55541
2021-01-04,-0.55638
2021-01-05,-0.55655
2021-01-06,-0.55663
2021-01-07,-0.55674
2021-01-08,-0.55685
2021-01-11,-0.55704
2021-01-12,-0.55726
2021-01-13,-0.55734
2021-01-14,-0.55742
2021-01-15,-0.5575
2021-01-18,-0.55777
2021-01-19,-0.55802
2021-01-20,-0.55814
2021-01-21,-0.55826
2021-01-22,-0.55837
2021-01-25,-0.55848
2021-01-26,-0.55874
2021-01-27,-0.5588
2021-01-28,-0.5589
2021-01-29,-0.55897
2021-02-01,-0.55928
2021-02-02,-0.55935
2021-02-03,-0.55945
2021-02-04,-0.5595
2021-02-05,-0.55956
2021-02-08,-0.55976
2021-02-09,-0.55987
2021-02-10,-0.55993
2021-02-11,-0.56001
2021-02-12,-0.56009
2021-02-15,-0.56032
2021-02-16,-0.56051
2021-02-17,-0.56057
2021-02-18,-0.56064
2021-02-19,-0.56069
2021-02-22,-0.56079
2021-02-23,-0.56096
2021-02-24,-0.56105
2021-02-25,-0.56114
2021-02-26,-0.56125
2021-03-01,-0.56164
2021-03-02,-0.5617
2021-03-03,-0.5618
2021-03-04,-0.5619
2021-03-05,-0.56193
2021-03-08,-0.56225
