date,DE:allotted
2026-01-05,2540.0
2026-01-06,4547.0
2026-01-07,4542.1
2026-01-12,4034.0
2026-01-13,4596.6
2026-01-14,2332.7
2026-01-19,3627.0
2026-01-21,1561.6
2026-01-27,4632.6
2026-01-28,4604.4
2026-02-02,3285.0
2026-02-03,1353.9
2026-02-04,3196.6
2026-02-09,3602.0
2026-02-10,3811.1
2026-02-11,1909.9
2026-02-16,3975.0
2026-02-17,4590.2
2026-02-18,4238.1
2026-02-25,1674.2
2026-03-02,3540.0
2026-03-03,3825.3
2026-03-04,960.0
2026-03-09,1572.0
2026-03-10,3871.1
2026-03-11,3811.0
2026-03-16,3797.0
2026-03-18,1905.6
2026-03-24,3548.0
2026-03-25,1725.6
2026-03-30,4815.4
2026-03-31,3811.0
2026-04-01,3052.0
2026-04-07,1046.0
2026-04-08,3817.2
2026-04-13,4212.0
2026-04-14,3953.0
2026-04-15,2503.3
2026-04-20,3781.5
2026-04-21,4282.0
2026-04-22,1920.9
2026-04-29,3834.4
2026-05-04,4059.8
2026-05-05,1476.7
2026-05-06,2661.6
2026-05-11,4426.3
2026-05-12,4630.0
2026-05-13,2125.3
2026-05-18,3893.0
2026-05-19,3844.4
2026-05-20,3845.0
2026-05-27,1549.3
2026-06-01,3929.0
2026-06-02,3857.4
2026-06-08,3177.0
2026-06-09,1756.3
2026-06-10,3981.7
2026-06-15,4658.0
2026-06-16,3823.7
2026-06-17,2106.9
2026-06-23,3806.7
2026-06-24,1781.8
2026-07-01,2673.0
2026-07-06,2409.0
2026-07-07,1316.6
2026-07-08,3902.0
2026-07-13,4926.0
2026-07-14,4222.3
2026-07-15,2279.5
2026-07-20,2957.6
2026-07-21,4552.8
2026-07-22,1707.4
2026-07-29,4497.0
2026-08-04,4551.9
2026-08-05,1271.6
2026-08-10,4506.0
2026-08-11,4627.5
2026-08-12,1949.9
2026-08-17,5075.0
2026-08-19,3769.0
2026-08-24,4635.0
2026-08-25,3828.0
2026-08-26,1881.5
2026-09-01,4280.6
2026-09-07,4185.0
2026-09-08,1375.9
