date,APP:pspp
2014-10-01,0.0
2014-11-01,0.0
2014-12-01,0.0
2015-01-01,0.0
2015-02-01,0.0
2015-03-01,47356.0
2015-04-01,95057.0
2015-05-01,146679.0
2015-06-01,197530.0
2015-07-01,248889.0
2015-08-01,291715.0
2015-09-01,341462.0
2015-10-01,393637.0
2015-11-01,448742.0
2015-12-01,491215.0
2016-01-01,544171.0
2016-02-01,597529.0
2016-03-01,648022.0
2016-04-01,726521.0
2016-05-01,806194.0
2016-06-01,875201.0
2016-07-01,944852.0
2016-08-01,995364.0
2016-09-01,1061244.0
2016-10-01,1134218.0
2016-11-01,1204362.0
2016-12-01,1254635.0
2017-01-01,1325997.0
2017-02-01,1394205.0
2017-03-01,1457652.0
2017-04-01,1511963.0
2017-05-01,1563453.0
2017-06-01,1609327.0
2017-07-01,1661138.0
2017-08-01,1703977.0
2017-09-01,1748063.0
2017-10-01,1798237.0
2017-11-01,1848984.0
2017-12-01,1888764.0
2018-01-01,1909668.0
2018-02-01,1931470.0
2018-03-01,1945014.0
2018-04-01,1968645.0
2018-05-01,1992875.0
2018-06-01,2011606.0
2018-07-01,2036563.0
2018-08-01,2059182.0
2018-09-01,2075521.0
2018-10-01,2085439.0
2018-11-01,2095560.0
2018-12-01,2102048.0
2019-01-01,2100735.0
2019-02-01,2101918.0
2019-03-01,2094281.0
2019-04-01,2093419.0
2019-05-01,2093050.0
2019-06-01,2088859.0
2019-07-01,2087968.0
2019-08-01,2088811.0
2019-09-01,2082803.0
2019-10-01,2082106.0
2019-11-01,2096584.0
2019-12-01,2102927.0
2020-01-01,2115262.0
2020-02-01,2129399.0
2020-03-01,2159633.0
2020-04-01,2189257.0
2020-05-01,2218218.0
2020-06-01,2242068.0
2020-07-01,2258438.0
2020-08-01,2273588.0
2020-09-01,2290140.0
2020-10-01,2309322.0
2020-11-01,2330562.0
2020-12-01,2341607.0
2021-01-01,2355262.0
2021-02-01,2370392.0
2021-03-01,2379053.0
2021-04-01,2393239.0
2021-05-01,2407212.0
2021-06-01,2415331.0
2021-07-01,2429274.0
2021-08-01,2442837.0
2021-09-01,2449278.0
2021-10-01,2464316.0
2021-11-01,2479130.0
2021-12-01,2487136.0
2022-01-01,2504428.0
2022-02-01,2516523.0
2022-03-01,2525610.0
2022-04-01,2558848.0
2022-05-01,2581291.0
2022-06-01,2592645.0
2022-07-01,2591531.0
2022-08-01,2592400.0
2022-09-01,2588118.0
2022-10-01,2585180.0
2022-11-01,2585720.0
2022-12-01,2584666.0
2023-01-01,2584798.0
2023-02-01,2584935.0
2023-03-01,2569835.0
2023-04-01,2557798.0
2023-05-01,2543603.0
2023-06-01,2530922.0
2023-07-01,2504498.0
2023-08-01,2487900.0
2023-09-01,2470598.0
2023-10-01,2426355.0
2023-11-01,2412976.0
2023-12-01,2403035.0
2024-01-01,2377495.0
2024-02-01,2356971.0
2024-03-01,2330298.0
2024-04-01,2301586.0
2024-05-01,2271392.0
2024-06-01,2254498.0
2024-07-01,2227758.0
2024-08-01,2217196.0
2024-09-01,2196710.0
2024-10-01,2165737.0
2024-11-01,2143646.0
2024-12-01,2124731.0
2025-01-01,2110917.0
2025-02-01,2086439.0
2025-03-01,2049182.0
2025-04-01,2022101.0
2025-05-01,2002460.0
2025-06-01,1982280.0
2025-07-01,1956058.0
2025-08-01,1942944.0
2025-09-01,1927616.0
2025-10-01,1890543.0
2025-11-01,1870483.0
2025-12-01,1859680.0
2026-01-01,1851319.0
2026-02-01,1816705.0
2026-03-01,1788021.0
2026-04-01,1745603.0
2026-05-01,1724468.0
2026-06-01,1706087.0
2026-07-01,1681781.0
2026-08-01,1669210.0
