date,DE:avg_yield
2026-01-05,1.996
2026-01-06,2.11
2026-01-07,2.83
2026-01-12,1.997
2026-01-13,2.47
2026-01-14,3.384
2026-01-19,1.989
2026-01-21,3.361
2026-01-27,2.14
2026-01-28,2.85
2026-02-02,1.986
2026-02-03,2.79
2026-02-04,2.6
2026-02-09,1.979
2026-02-10,2.4
2026-02-11,3.47
2026-02-16,1.981
2026-02-17,2.02
2026-02-18,2.73
2026-02-25,3.012
2026-03-02,1.981
2026-03-03,2.43
2026-03-04,2.53
2026-03-09,2.218
2026-03-10,2.27
2026-03-11,2.89
2026-03-16,2.212
2026-03-18,3.414
2026-03-24,2.72
2026-03-25,3.355
2026-03-30,2.351
2026-03-31,2.62
2026-04-01,2.78
2026-04-07,3.119
2026-04-08,2.92
2026-04-13,2.424
2026-04-14,2.74
2026-04-15,3.563
2026-04-20,2.234
2026-04-21,2.47
2026-04-22,3.405
2026-04-29,3.08
2026-05-04,2.337
2026-05-05,2.785
2026-05-06,2.8
2026-05-11,2.384
2026-05-12,2.7
2026-05-13,3.583
2026-05-18,2.38
2026-05-19,2.85
2026-05-20,3.16
2026-05-27,3.402
2026-06-01,2.331
2026-06-02,2.59
2026-06-08,2.468
2026-06-09,3.221
2026-06-10,3.06
2026-06-15,2.418
2026-06-16,2.64
2026-06-17,3.449
2026-06-23,2.57
2026-06-24,3.171
2026-07-01,2.68
2026-07-06,2.352
2026-07-07,2.844
2026-07-08,3.09
2026-07-13,2.493
2026-07-14,2.77
2026-07-15,3.643
2026-07-20,2.514
2026-07-21,2.89
2026-07-22,3.534
2026-07-29,3.13
2026-08-04,2.78
2026-08-05,3.038
2026-08-10,2.49
2026-08-11,2.93
2026-08-12,3.486
2026-08-17,2.572
2026-08-19,3.26
2026-08-24,2.566
2026-08-25,2.85
2026-08-26,3.594
2026-09-01,3.09
2026-09-07,2.62
2026-09-08,3.401
2026-09-09,3.39
