date,YC.B.U2.EUR.4F.G_N_C.SV_C_YM.SR_10Y
2018-09-11,1.1824636930323678
2018-09-12,1.1449120466356142
2018-09-13,1.1732104676168955
2018-09-14,1.204245291774134
2018-09-17,1.1738241973307026
2018-09-18,1.2349497731546855
2018-09-19,1.2753293546403945
2018-09-20,1.24199951060376
2018-09-21,1.2365118332350598
2018-09-24,1.2895215061941503
2018-09-25,1.2982456951552006
2018-09-26,1.2923253318593417
2018-09-27,1.3077876035473892
2018-09-28,1.257266484995906
2018-10-01,1.269333253363527
2018-10-02,1.2619903069331375
2018-10-03,1.2621220446971417
2018-10-04,1.3166352584474517
2018-10-05,1.3581866562939613
2018-10-08,1.3678833211672714
2018-10-09,1.379643210033084
2018-10-10,1.3668515256717324
2018-10-11,1.3709426540119747
2018-10-12,1.365796893300697
2018-10-15,1.3557847280586977
2018-10-16,1.325699648916716
2018-10-17,1.2792908666630272
2018-10-18,1.3810180927391666
2018-10-19,1.3802515892920333
2018-10-22,1.4112587222004134
2018-10-23,1.3914595733388335
2018-10-24,1.3925461312727432
2018-10-25,1.3317593566446426
2018-10-26,1.293685455536112
2018-10-29,1.3008010589229055
2018-10-30,1.3264099267321772
2018-10-31,1.2460283192269728
2018-11-01,1.286457505576088
2018-11-02,1.2940409732235718
2018-11-05,1.2843331132035107
2018-11-06,1.3126167658587935
2018-11-07,1.3142770148120224
2018-11-08,1.2830876780179885
2018-11-09,1.275805445849894
2018-11-12,1.2692708634975691
2018-11-13,1.2830922167026966
2018-11-14,1.300301477955193
2018-11-15,1.3228098830448793
2018-11-16,1.3270036240300715
2018-11-19,1.3563103980952569
2018-11-20,1.3529569363851284
2018-11-21,1.3364915271311784
2018-11-22,1.3259312595200736
2018-11-23,1.2905319903878691
2018-11-26,1.2552332294342765
2018-11-27,1.2646381586243773
2018-11-28,1.2566131131307259
2018-11-29,1.201441193729373
2018-11-30,1.2110969455821152
2018-12-03,1.2005223798104954
2018-12-04,1.1685186196981387
2018-12-05,1.169248139600164
2018-12-06,1.1620336667655131
2018-12-07,1.194368932169981
2018-12-10,1.1806627156267062
2018-12-11,1.16795231059867
2018-12-12,1.1580470129504583
2018-12-13,1.1515232249529035
2018-12-14,1.1452231999657823
2018-12-17,1.14806066600244
2018-12-18,1.131712234117014
2018-12-19,1.150705301709543
2018-12-20,1.1275963692794697
2018-12-21,1.1408437990470421
2018-12-27,1.149405268299747
2018-12-28,1.1653486888195177
2019-01-02,1.1032631399958683
2019-01-03,1.149087319994294
2019-01-04,1.1877258873681962
2019-01-07,1.167202932519606
2019-01-08,1.1893011656531542
2019-01-09,1.1208072428409492
2019-01-10,1.0635053876662024
2019-01-11,1.041574056872118
2019-01-14,1.0462771657518508
2019-01-15,1.0330721656987887
2019-01-16,1.0514997302178495
2019-01-17,1.0397145106348118
2019-01-18,1.0406377828117575
2019-01-21,1.04846078665034
2019-01-22,1.0310804495725567
2019-01-23,1.0276344724884345
2019-01-24,0.9798489113923479
2019-01-25,0.9192617012615751
2019-01-28,0.9402393036801366
2019-01-29,0.9782926469591642
2019-01-30,0.9791362339965421
2019-01-31,0.9461593173589207
2019-02-01,0.8998624170752554
2019-02-04,1.0329300937811023
2019-02-05,0.9961973418303223
2019-02-06,0.9250016684921283
2019-02-07,0.9217896789091231
2019-02-08,0.9148204355619338
2019-02-11,0.9147518363953835
2019-02-12,0.913563570511144
2019-02-13,0.8986757497870279
2019-02-14,0.8642194061781527
2019-02-15,0.8972032536617811
2019-02-18,0.8779759683227693
2019-02-19,0.8852499864089638
2019-02-20,0.8743186770162987
2019-02-21,0.909650403144088
2019-02-22,0.8706629287759995
2019-02-25,0.8701336602198744
2019-02-26,0.8457937578529493
2019-02-27,0.9672812936033215
2019-02-28,0.9874360124862811
2019-03-01,1.0029913481417285
2019-03-04,0.991009636422985
2019-03-05,0.9757967966150916
2019-03-06,0.9303198929536038
2019-03-07,0.8165265579971721
2019-03-08,0.7958079014387489
2019-03-11,0.7783311205298968
2019-03-12,0.8042852992869278
2019-03-13,0.8041203227069493
2019-03-14,0.7942018856333997
2019-03-15,0.7800412326065795
2019-03-18,0.8016967219029199
2019-03-19,0.8094977568774668
2019-03-20,0.8027511204546727
2019-03-21,0.7344194143908012
2019-03-22,0.7291765445292357
2019-03-25,0.7616939559907512
2019-03-26,0.776613497361367
2019-03-27,0.7126980556605771
2019-03-28,0.7437790703805844
2019-03-29,0.7476090398766826
2019-04-01,0.7703366108297693
2019-04-02,0.7786100190207708
2019-04-03,0.7556545869464051
2019-04-04,0.6704892716959927
2019-04-05,0.7143763912229364
2019-04-08,0.651499338585606
2019-04-09,0.7899463297243954
2019-04-10,0.7520774515207349
2019-04-11,0.6542340930544315
2019-04-12,0.6881172398672128
2019-04-15,0.7806241445526849
2019-04-16,0.7300647476353701
2019-04-17,0.7909703360289613
2019-04-18,0.7282651731948273
2019-04-23,0.7695895394744761
2019-04-24,0.7030517692192233
2019-04-25,0.738729873919207
2019-04-26,0.7179165532596574
2019-04-29,0.6750576476243144
2019-04-30,0.6747739296278912
2019-05-02,0.6469024927125946
2019-05-03,0.6520777179335187
2019-05-06,0.6560270048887569
2019-05-07,0.6258251718209364
2019-05-08,0.6239428233071203
2019-05-09,0.637247555265716
2019-05-10,0.6513653841005285
2019-05-13,0.6392179437681547
2019-05-14,0.6925085762782
2019-05-15,0.6674450598422208
2019-05-16,0.6261196572494097
2019-05-17,0.6051612915093352
2019-05-20,0.6389588174670222
2019-05-21,0.6336532708550853
2019-05-22,0.6259518384935352
2019-05-23,0.6037529225034226
2019-05-24,0.5886486344395712
2019-05-27,0.5769521125357464
2019-05-28,0.6444264776578401
2019-05-29,0.5394899665994415
2019-05-30,0.5394899665993269
2019-05-31,0.49937223199054115
2019-06-03,0.4527804367462309
2019-06-04,0.4008793772585033
2019-06-05,0.3858255412922551
2019-06-06,0.36160498311955624
2019-06-07,0.2941478092954135
2019-06-10,0.3569084924071424
2019-06-11,0.32995225103442927
2019-06-12,0.34523646035942157
2019-06-13,0.36896009474803826
2019-06-14,0.3397385037249254
2019-06-17,0.35070139089073793
2019-06-18,0.25068455466818396
2019-06-19,0.26533118888122686
2019-06-20,0.24461342951156873
2019-06-21,0.28179037305230636
2019-06-24,0.26034290841435714
2019-06-25,0.23001193478361381
2019-06-26,0.23001193478335225
2019-06-27,0.2397408555916294
2019-06-28,0.23325346890473897
2019-07-01,0.19929863390828295
2019-07-02,0.17145538979896413
2019-07-03,0.11469036010073808
2019-07-04,0.09325123717139983
2019-07-05,0.16318150127497155
2019-07-08,0.14970906908480597
2019-07-09,0.17805201107803992
2019-07-10,0.21781531880230487
2019-07-11,0.23213845421110246
2019-07-12,0.29479172234807294
2019-07-15,0.2562557768164151
2019-07-16,0.23277894134965038
2019-07-17,0.19347676736846697
2019-07-18,0.18877758546098633
2019-07-19,0.12813647909850268
2019-07-22,0.12645641710437072
2019-07-23,0.13005162767616651
2019-07-24,0.09700141329583589
2019-07-25,0.1663266434420283
2019-07-26,0.11182585436815806
2019-07-29,0.07823280041867564
2019-07-30,0.09751834726302322
2019-07-31,0.04791057289608158
2019-08-01,0.014561912188937765
2019-08-02,-0.012700402582325854
2019-08-05,-0.010991721041573754
2019-08-06,-0.07287572663609065
2019-08-07,-0.12578331247360053
2019-08-08,-0.05786379832384991
2019-08-09,-0.05194276793337416
2019-08-12,-0.06160594171421918
2019-08-13,-0.08279185406961043
2019-08-14,-0.14284619748979388
2019-08-15,-0.12691287951553543
2019-08-16,-0.21679875557451744
2019-08-19,-0.10128708494402172
2019-08-20,-0.14834371034642713
2019-08-21,-0.12622380870948113
2019-08-22,-0.09795111702919534
2019-08-23,-0.09536215758120914
2019-08-26,-0.1136772758166531
2019-08-27,-0.14999185500241818
2019-08-28,-0.20502343738155027
2019-08-29,-0.12787088198482932
2019-08-30,-0.10950665092319145
2019-09-02,-0.0975503261796069
2019-09-03,-0.11379736946276209
2019-09-04,-0.07627874242504173
2019-09-05,-0.008184002895687659
2019-09-06,-0.0631740614372247
2019-09-09,-0.0011510080372203468
2019-09-10,0.007940973309897625
2019-09-11,0.017929096409398326
2019-09-12,-0.018409050974677044
2019-09-13,0.04796115457375194
2019-09-16,0.05804274176741142
2019-09-17,0.06338701033323257
2019-09-18,0.10179175735993962
2019-09-19,0.040081805153082684
2019-09-20,0.025206546787575945
2019-09-23,-0.03557680076511538
2019-09-24,-0.04610396196632127
2019-09-25,-0.06593987119574951
2019-09-26,-0.03242393073994787
2019-09-27,-0.03604610527581187
2019-09-30,-0.035582278832727354
2019-10-01,-0.0005673061662694323
2019-10-02,0.005951007912132766
2019-10-03,-0.03972057249123129
2019-10-04,-0.041354343190864284
2019-10-07,-0.036551813342925676
2019-10-08,-0.044737222136165045
2019-10-09,-0.02409644623514673
2019-10-10,0.055213267940033006
2019-10-11,0.06500187719374928
2019-10-14,0.05569656729519057
2019-10-15,0.0443961919756557
2019-10-16,0.09620242176865279
2019-10-17,0.09234722833155118
2019-10-18,0.11687607140770062
2019-10-21,0.14299516462071882
2019-10-22,0.114661110858302
2019-10-23,0.09380374524394153
2019-10-24,0.09201603020948923
2019-10-25,0.12134900061963982
2019-10-28,0.1528313513720203
2019-10-29,0.1465486731827177
2019-10-30,0.14124844332262843
2019-10-31,0.08457970288835526
2019-11-01,0.10867508294008932
2019-11-04,0.15129356021603968
2019-11-05,0.1407941084498292
2019-11-06,0.11689771271062455
2019-11-07,0.16980232416335372
2019-11-08,0.1959304814939271
2019-11-11,0.19675858747173347
2019-11-12,0.21293423878339368
2019-11-13,0.20537717560249913
2019-11-14,0.18013465357725345
2019-11-15,0.1987835817205701
2019-11-18,0.17212890936588554
2019-11-19,0.1904782728796226
2019-11-20,0.16493632880747366
2019-11-21,0.21366921666066396
2019-11-22,0.1914907221711113
2019-11-25,0.17746893068915437
2019-11-26,0.1541116577867081
2019-11-27,0.16590651170419424
2019-11-28,0.17500863713697346
2019-11-29,0.20979174192627426
2019-12-02,0.260919956652633
2019-12-03,0.19653937582581626
2019-12-04,0.1863723563001427
2019-12-05,0.24739015425292532
2019-12-06,0.23806857927418257
2019-12-09,0.22584105498376328
2019-12-10,0.2298146817718978
2019-12-11,0.20214703768453823
2019-12-12,0.2306789342591271
2019-12-13,0.23725792128197298
2019-12-16,0.20765009129427536
2019-12-17,0.21234797015252393
2019-12-18,0.24562452348440988
2019-12-19,0.2995265818705706
2019-12-20,0.2672909328765414
2019-12-23,0.2619531329299516
2019-12-27,0.2615748445947945
2019-12-30,0.3150915677470838
2020-01-02,0.28710017750531147
2020-01-03,0.23223110054328888
2020-01-06,0.21556226411274526
2020-01-07,0.22217603673401953
2020-01-08,0.24737021658074454
2020-01-09,0.2748662683767291
2020-01-10,0.25780853522129643
2020-01-13,0.2950632970363447
2020-01-14,0.25627023902647217
2020-01-15,0.23919208265291214
2020-01-16,0.24040545729608898
2020-01-17,0.24715701164408355
2020-01-20,0.2148652191352518
2020-01-21,0.20555573857302534
2020-01-22,0.1751103698460028
2020-01-23,0.16168873926416616
2020-01-24,0.11968764969465351
2020-01-27,0.05140074795509264
2020-01-28,0.059045428410775536
2020-01-29,0.05799254801494769
2020-01-30,0.027877363061419302
2020-01-31,-0.009220897749431245
2020-02-03,-0.008229042209634052
2020-02-04,0.06714516308348806
2020-02-05,0.07581473012718298
2020-02-06,0.08225669201768149
2020-02-07,0.03684208958262314
2020-02-10,0.030133615769617705
2020-02-11,0.005096164761329014
2020-02-12,0.008198113707533317
2020-02-13,0.031088031008904338
2020-02-14,0.014603736625265817
2020-02-17,0.014768004212974972
2020-02-18,0.034057243195997344
2020-02-19,0.024851404026746238
2020-02-20,-0.002466316411564584
2020-02-21,-0.02275630688477115
2020-02-24,-0.03311882138462696
2020-02-25,-0.02879861030884001
2020-02-26,-0.0040975731152586015
2020-02-27,0.0038791836161453652
2020-02-28,-0.02318619517538245
2020-03-02,-0.0091407851895422
2020-03-03,0.011322422500464668
2020-03-04,-0.0809981501384085
2020-03-05,-0.034090956090608415
2020-03-06,-0.08499914116710139
2020-03-09,-0.01953422511789471
2020-03-10,0.022730060825561615
2020-03-11,0.06456558198948281
2020-03-12,-0.05403259775813485
2020-03-13,0.31197701476914963
2020-03-16,0.49612366514960415
2020-03-17,0.6159576670321651
2020-03-18,0.7104567535426014
2020-03-19,0.5763551020000874
2020-03-20,0.46363896058170817
2020-03-23,0.4748745527392946
2020-03-24,0.5336773596976268
2020-03-25,0.528630065056944
2020-03-26,0.4209202647581294
2020-03-27,0.3014584523403574
2020-03-30,0.3165948647988195
2020-03-31,0.3783381125651766
2020-04-01,0.44242233690822097
2020-04-02,0.4434414912331355
2020-04-03,0.4519407574603038
2020-04-06,0.42383257646852357
2020-04-07,0.4966657866767106
2020-04-08,0.5385696800955855
2020-04-09,0.4872508802180735
2020-04-14,0.5489684801965384
2020-04-15,0.5382540745089859
2020-04-16,0.5320977432803544
2020-04-17,0.521231844722251
2020-04-20,0.5999373517301383
2020-04-21,0.6167738219950842
2020-04-22,0.7153237458123396
2020-04-23,0.6626965075596318
2020-04-24,0.5951529670513942
2020-04-27,0.5571396871533127
2020-04-28,0.5198590109208299
2020-04-29,0.4826704526648724
2020-04-30,0.3905456714136246
2020-05-04,0.4773668485196638
2020-05-05,0.497106019253013
2020-05-06,0.5507196356520834
2020-05-07,0.5471591304626049
2020-05-08,0.5059409804701365
2020-05-11,0.4562251805212614
2020-05-12,0.476387824524243
2020-05-13,0.4725938442802087
2020-05-14,0.34357190538695415
2020-05-15,0.3397344908126332
2020-05-18,0.35099748765336125
2020-05-19,0.31345671654866125
2020-05-20,0.30677919733128967
2020-05-21,0.292534701475065
2020-05-22,0.29494701798519385
2020-05-25,0.3047356108493702
2020-05-26,0.2927782552734137
2020-05-27,0.28291643002467826
2020-05-28,0.2342710110065762
2020-05-29,0.1889278305914952
2020-06-01,0.22611369565858874
2020-06-02,0.2045252457944633
2020-06-03,0.24331587182979364
2020-06-04,0.24658986257552717
2020-06-05,0.2465420853806588
2020-06-08,0.21749609895792332
2020-06-09,0.2174004331959991
2020-06-10,0.29046383414482424
2020-06-11,0.20538988587284202
2020-06-12,0.18391136928209573
2020-06-15,0.151283449886634
2020-06-16,0.14902502989100874
2020-06-17,0.1339847636388436
2020-06-18,0.1264818890872661
2020-06-19,0.10976728393530033
2020-06-22,0.06395573321260573
2020-06-23,0.08991918423667267
2020-06-24,0.09376589375905375
2020-06-25,0.0934672763461406
2020-06-26,0.05807904886459969
2020-06-29,0.06613459504940389
