date,APP:holdings
2014-10-01,4768.0
2014-11-01,18169.0
2014-12-01,31376.0
2015-01-01,42581.0
2015-02-01,54672.0
2015-03-01,115584.0
2015-04-01,175912.0
2015-05-01,238992.0
2015-06-01,301323.0
2015-07-01,362631.0
2015-08-01,414264.0
2015-09-01,475628.0
2015-10-01,539358.0
2015-11-01,601933.0
2015-12-01,649877.0
2016-01-01,712290.0
2016-02-01,774421.0
2016-03-01,832651.0
2016-04-01,917749.0
2016-05-01,1003062.0
2016-06-01,1084561.0
2016-07-01,1165068.0
2016-08-01,1225566.0
2016-09-01,1305942.0
2016-10-01,1391364.0
2016-11-01,1476790.0
2016-12-01,1532050.0
2017-01-01,1617086.0
2017-02-01,1697592.0
2017-03-01,1771743.0
2017-04-01,1834330.0
2017-05-01,1896863.0
2017-06-01,1952712.0
2017-07-01,2013083.0
2017-08-01,2063087.0
2017-09-01,2118111.0
2017-10-01,2180526.0
2017-11-01,2243094.0
2017-12-01,2286059.0
2018-01-01,2316253.0
2018-02-01,2346440.0
2018-03-01,2369162.0
2018-04-01,2399743.0
2018-05-01,2431356.0
2018-06-01,2455492.0
2018-07-01,2485288.0
2018-08-01,2510109.0
2018-09-01,2532098.0
2018-10-01,2547104.0
2018-11-01,2562424.0
2018-12-01,2569810.0
2019-01-01,2567293.0
2019-02-01,2568235.0
2019-03-01,2559079.0
2019-04-01,2558809.0
2019-05-01,2559399.0
2019-06-01,2553507.0
2019-07-01,2551695.0
2019-08-01,2553101.0
2019-09-01,2545701.0
2019-10-01,2546882.0
2019-11-01,2570979.0
2019-12-01,2579447.0
2020-01-01,2599749.0
2020-02-01,2623179.0
2020-03-01,2666466.0
2020-04-01,2704906.0
2020-05-01,2743076.0
2020-06-01,2775163.0
2020-07-01,2796691.0
2020-08-01,2815818.0
2020-09-01,2842453.0
2020-10-01,2867801.0
2020-11-01,2895521.0
2020-12-01,2908907.0
2021-01-01,2926753.0
2021-02-01,2947669.0
2021-03-01,2963246.0
2021-04-01,2982164.0
2021-05-01,3002305.0
2021-06-01,3017016.0
2021-07-01,3038614.0
2021-08-01,3055363.0
2021-09-01,3068284.0
2021-10-01,3091301.0
2021-11-01,3112499.0
2021-12-01,3123382.0
2022-01-01,3142221.0
2022-02-01,3162920.0
2022-03-01,3179043.0
2022-04-01,3218441.0
2022-05-01,3248673.0
2022-06-01,3265144.0
2022-07-01,3263385.0
2022-08-01,3262729.0
2022-09-01,3256257.0
2022-10-01,3255936.0
2022-11-01,3257063.0
2022-12-01,3253653.0
2023-01-01,3252906.0
2023-02-01,3251903.0
2023-03-01,3230980.0
2023-04-01,3216461.0
2023-05-01,3201565.0
2023-06-01,3183886.0
2023-07-01,3152576.0
2023-08-01,3134577.0
2023-09-01,3109057.0
2023-10-01,3056422.0
2023-11-01,3038471.0
2023-12-01,3025924.0
2024-01-01,2992663.0
2024-02-01,2967266.0
2024-03-01,2931541.0
2024-04-01,2897103.0
2024-05-01,2858885.0
2024-06-01,2834888.0
2024-07-01,2801812.0
2024-08-01,2790187.0
2024-09-01,2761143.0
2024-10-01,2725883.0
2024-11-01,2698225.0
2024-12-01,2673164.0
2025-01-01,2650457.0
2025-02-01,2612882.0
2025-03-01,2567000.0
2025-04-01,2530591.0
2025-05-01,2502870.0
2025-06-01,2475451.0
2025-07-01,2445522.0
2025-08-01,2430868.0
2025-09-01,2402848.0
2025-10-01,2362349.0
2025-11-01,2337052.0
2025-12-01,2321734.0
2026-01-01,2304579.0
2026-02-01,2263178.0
2026-03-01,2226937.0
2026-04-01,2176126.0
2026-05-01,2146950.0
2026-06-01,2120466.0
2026-07-01,2093295.0
2026-08-01,2077889.0
