issuer,kind,isin,auction,settlement,maturity,nominal,cash,cover,yield,source
EU,bill,EU000A4EDCQ2,2026-01-07,2026-01-09,2026-07-03,886.0,886.0,1.79,1.992,eu_news:results-07-01-2026-auction-eu-bills-2026-01-07_en
EU,bill,EU000A4EMTG8,2026-01-07,2026-01-09,2027-01-08,1292.0,1292.0,1.57,2.043,eu_news:results-07-01-2026-auction-eu-bills-2026-01-07_en
EU,bill,EU000A4D85N4,2026-01-21,2026-01-23,2026-04-10,930.0,930.0,1.51,1.978,eu_news:results-21-01-2026-auction-eu-bills-2026-01-21_en
EU,bill,EU000A4EDCQ2,2026-01-21,2026-01-23,2026-07-03,850.0,850.0,1.55,2.004,eu_news:results-21-01-2026-auction-eu-bills-2026-01-21_en
EU,bill,EU000A4EMTG8,2026-01-21,2026-01-23,2027-01-08,1387.0,1387.0,1.17,2.048,eu_news:results-21-01-2026-auction-eu-bills-2026-01-21_en
EU,bond,EU000A4D8KD2,2026-01-26,2026-01-28,2035-12-12,2400.0,2441.016,1.56,3.17,eu_news:results-26-01-2026-auction-eu-bonds-2026-01-26_en
EU,bond,EU000A4EG021,2026-01-26,2026-01-28,2030-10-14,2310.0,2301.014,1.28,2.586,eu_news:results-26-01-2026-auction-eu-bonds-2026-01-26_en
EU,bond,EU000A4EJF17,2026-01-26,2026-01-28,2040-12-12,1711.0,1707.013,1.34,3.643,eu_news:results-26-01-2026-auction-eu-bonds-2026-01-26_en
EU,bond,EU000A4D8KD2,2026-01-26,2026-01-29,2035-12-12,412.0,419.041,,3.17,eu_news:results-26-01-2026-auction-eu-bonds-2026-01-26_en#noncomp
EU,bond,EU000A4EG021,2026-01-26,2026-01-29,2030-10-14,361.0,359.596,,2.586,eu_news:results-26-01-2026-auction-eu-bonds-2026-01-26_en#noncomp
EU,bond,EU000A4EJF17,2026-01-26,2026-01-29,2040-12-12,253.0,252.411,,3.643,eu_news:results-26-01-2026-auction-eu-bonds-2026-01-26_en#noncomp
EU,bill,EU000A4EAKP3,2026-02-04,2026-02-06,2026-05-08,901.0,901.0,1.98,1.98,eu_news:results-04-02-2026-auction-eu-bills-2026-02-04_en
EU,bill,EU000A4EEWF1,2026-02-04,2026-02-06,2026-08-07,900.0,900.0,1.62,2.002,eu_news:results-04-02-2026-auction-eu-bills-2026-02-04_en
EU,bill,EU000A4EPCJ1,2026-02-04,2026-02-06,2027-02-05,1200.0,1200.0,2.29,2.05,eu_news:results-04-02-2026-auction-eu-bills-2026-02-04_en
EU,bill,EU000A4EAKP3,2026-02-18,2026-02-20,2026-05-08,900.0,900.0,1.47,1.99,eu_news:results-18-02-2026-auction-eu-bills-2026-02-18_en
EU,bill,EU000A4EEWF1,2026-02-18,2026-02-20,2026-08-07,876.0,876.0,1.57,2.011,eu_news:results-18-02-2026-auction-eu-bills-2026-02-18_en
EU,bill,EU000A4EPCJ1,2026-02-18,2026-02-20,2027-02-05,1300.0,1300.0,1.36,2.035,eu_news:results-18-02-2026-auction-eu-bills-2026-02-18_en
EU,bond,EU000A3K4D74,2026-02-23,2026-02-25,2038-10-04,1930.0,1940.75,1.16,3.319,eu_news:results-23-02-2026-auction-eu-bonds-2026-02-23_en
EU,bond,EU000A3LNF05,2026-02-23,2026-02-25,2030-12-04,2176.0,2240.867,1.17,2.454,eu_news:results-23-02-2026-auction-eu-bonds-2026-02-23_en
EU,bond,EU000A4D5QM6,2026-02-23,2026-02-25,2028-07-04,1986.0,2005.721,1.19,2.185,eu_news:results-23-02-2026-auction-eu-bonds-2026-02-23_en
EU,bond,EU000A3K4D74,2026-02-23,2026-02-26,2038-10-04,312.0,313.738,,3.319,eu_news:results-23-02-2026-auction-eu-bonds-2026-02-23_en#noncomp
EU,bond,EU000A3LNF05,2026-02-23,2026-02-26,2030-12-04,361.0,371.761,,2.454,eu_news:results-23-02-2026-auction-eu-bonds-2026-02-23_en#noncomp
EU,bond,EU000A4D5QM6,2026-02-23,2026-02-26,2028-07-04,184.0,185.827,,2.185,eu_news:results-23-02-2026-auction-eu-bonds-2026-02-23_en#noncomp
EU,bill,EU000A4EB337,2026-03-04,2026-03-06,2026-06-05,939.0,939.0,1.6,1.998,eu_news:results-04-03-2026-auction-eu-bills-2026-03-04_en
EU,bill,EU000A4EF4A1,2026-03-04,2026-03-06,2026-09-04,735.0,735.0,1.73,2.054,eu_news:results-04-03-2026-auction-eu-bills-2026-03-04_en
EU,bill,EU000A4EQY98,2026-03-04,2026-03-06,2027-03-05,1362.0,1362.0,1.26,2.128,eu_news:results-04-03-2026-auction-eu-bills-2026-03-04_en
EU,bill,EU000A4EB337,2026-03-18,2026-03-20,2026-06-05,841.0,841.0,1.57,2.009,eu_news:results-18-03-2026-auction-eu-bills-2026-03-18_en
EU,bill,EU000A4EF4A1,2026-03-18,2026-03-20,2026-09-04,823.0,823.0,1.58,2.148,eu_news:results-18-03-2026-auction-eu-bills-2026-03-18_en
EU,bill,EU000A4EQY98,2026-03-18,2026-03-20,2027-03-05,1405.0,1405.0,1.16,2.311,eu_news:results-18-03-2026-auction-eu-bills-2026-03-18_en
EU,bond,EU000A3K4DW8,2026-03-23,2026-03-25,2033-02-04,1573.0,1525.763,1.16,3.244,eu_news:results-23-03-2026-auction-eu-bonds-2026-03-23_en
EU,bond,EU000A3K4ES4,2026-03-23,2026-03-25,2034-12-04,1900.0,1843.057,1.21,3.402,eu_news:results-23-03-2026-auction-eu-bonds-2026-03-23_en
EU,bond,EU000A4EG021,2026-03-23,2026-03-25,2030-10-14,2258.0,2203.785,1.14,3.07,eu_news:results-23-03-2026-auction-eu-bonds-2026-03-23_en
EU,bond,EU000A3K4DW8,2026-03-23,2026-03-26,2033-02-04,308.0,298.751,,3.244,eu_news:results-23-03-2026-auction-eu-bonds-2026-03-23_en#noncomp
EU,bond,EU000A3K4ES4,2026-03-23,2026-03-26,2034-12-04,375.0,363.761,,3.402,eu_news:results-23-03-2026-auction-eu-bonds-2026-03-23_en#noncomp
EU,bond,EU000A4EG021,2026-03-23,2026-03-26,2030-10-14,449.0,438.22,,3.07,eu_news:results-23-03-2026-auction-eu-bonds-2026-03-23_en#noncomp
EU,bill,EU000A4EDCQ2,2026-04-08,2026-04-10,2026-07-03,837.0,837.0,1.62,2.121,eu_news:results-08-04-2026-auction-eu-bills-2026-04-08_en
EU,bill,EU000A4EHML3,2026-04-08,2026-04-10,2026-10-09,873.0,873.0,1.45,2.319,eu_news:results-08-04-2026-auction-eu-bills-2026-04-08_en
EU,bill,EU000A4ESJ04,2026-04-08,2026-04-10,2027-04-09,1161.0,1161.0,1.41,2.507,eu_news:results-08-04-2026-auction-eu-bills-2026-04-08_en
EU,bill,EU000A4EDCQ2,2026-04-22,2026-04-24,2026-07-03,899.0,899.0,1.68,2.118,eu_news:results-22-04-2026-auction-eu-bills-2026-04-22_en
EU,bill,EU000A4EHML3,2026-04-22,2026-04-24,2026-10-09,849.0,849.0,1.67,2.287,eu_news:results-22-04-2026-auction-eu-bills-2026-04-22_en
EU,bill,EU000A4ESJ04,2026-04-22,2026-04-24,2027-04-09,1233.0,1233.0,1.79,2.494,eu_news:results-22-04-2026-auction-eu-bills-2026-04-22_en
EU,bond,EU000A3K4EL9,2026-04-27,2026-04-29,2044-04-04,1409.0,1420.131,1.14,3.937,eu_news:results-27-04-2026-auction-eu-bonds-2026-04-27_en
EU,bond,EU000A3L1DJ0,2026-04-27,2026-04-29,2031-12-04,2051.0,2000.689,1.24,2.98,eu_news:results-27-04-2026-auction-eu-bonds-2026-04-27_en
EU,bond,EU000A4ERVC2,2026-04-27,2026-04-29,2036-12-12,2579.0,2527.833,1.33,3.477,eu_news:results-27-04-2026-auction-eu-bonds-2026-04-27_en
EU,bill,EU000A4EEWF1,2026-05-06,2026-05-08,2026-08-07,805.0,805.0,1.62,2.175,eu_news:results-06-05-2026-auction-eu-bills-2026-05-06_en
EU,bill,EU000A4EJ3Q5,2026-05-06,2026-05-08,2026-11-06,900.0,900.0,1.63,2.366,eu_news:results-06-05-2026-auction-eu-bills-2026-05-06_en
EU,bill,EU000A4ET792,2026-05-06,2026-05-08,2027-05-07,1771.0,1771.0,1.32,2.578,eu_news:results-06-05-2026-auction-eu-bills-2026-05-06_en
EU,bond,EU000A3K4C42,2026-05-18,2026-05-20,2037-02-04,2369.0,1703.429,1.08,3.608,eu_news:results-18-05-2026-auction-eu-bonds-2026-05-18_en
EU,bond,EU000A3KTGW6,2026-05-18,2026-05-20,2051-07-06,1220.0,568.13,1.29,4.173,eu_news:results-18-05-2026-auction-eu-bonds-2026-05-18_en
EU,bond,EU000A4ENP68,2026-05-18,2026-05-20,2029-07-12,2873.0,2825.366,1.11,2.935,eu_news:results-18-05-2026-auction-eu-bonds-2026-05-18_en
EU,bill,EU000A4EEWF1,2026-05-20,2026-05-22,2026-08-07,842.0,842.0,1.55,2.189,eu_news:results-20-05-2026-auction-eu-bills-2026-05-20_en
EU,bill,EU000A4EJ3Q5,2026-05-20,2026-05-22,2026-11-06,882.0,882.0,1.56,2.385,eu_news:results-20-05-2026-auction-eu-bills-2026-05-20_en
EU,bill,EU000A4ET792,2026-05-20,2026-05-22,2027-05-07,1648.0,1648.0,1.21,2.645,eu_news:results-20-05-2026-auction-eu-bills-2026-05-20_en
EU,bill,EU000A4EF4A1,2026-06-03,2026-06-05,2026-09-04,847.0,847.0,2.23,2.283,eu_news:results-03-06-2026-auction-eu-bills-2026-06-03_en
EU,bill,EU000A4ELKS4,2026-06-03,2026-06-05,2026-12-04,916.0,916.0,1.64,2.424,eu_news:results-03-06-2026-auction-eu-bills-2026-06-03_en
EU,bill,EU000A4EVJR7,2026-06-03,2026-06-05,2027-06-04,1757.0,1757.0,1.51,2.654,eu_news:results-03-06-2026-auction-eu-bills-2026-06-03_en
EU,bill,EU000A4EF4A1,2026-06-17,2026-06-19,2026-09-04,849.0,849.0,1.7,2.29,eu_news:results-17-06-2026-auction-eu-bills-2026-06-17_en
EU,bill,EU000A4ELKS4,2026-06-17,2026-06-19,2026-12-04,848.0,848.0,1.79,2.416,eu_news:results-17-06-2026-auction-eu-bills-2026-06-17_en
EU,bill,EU000A4EVJR7,2026-06-17,2026-06-19,2027-06-04,1565.0,1565.0,1.58,2.585,eu_news:results-17-06-2026-auction-eu-bills-2026-06-17_en
EU,bond,EU000A3K4DG1,2026-06-22,2026-06-24,2043-02-04,1262.0,871.474,1.23,3.794,eu_news:results-22-06-2026-auction-eu-bonds-2026-06-22_en
EU,bond,EU000A3K4EN5,2026-06-22,2026-06-24,2028-12-05,2396.0,2417.085,1.17,2.744,eu_news:results-22-06-2026-auction-eu-bonds-2026-06-22_en
EU,bond,EU000A4ERVC2,2026-06-22,2026-06-24,2036-12-12,2841.0,2805.942,1.23,3.392,eu_news:results-22-06-2026-auction-eu-bonds-2026-06-22_en
EU,bond,EU000A3K4DG1,2026-06-22,2026-06-25,2043-02-04,250.0,172.637,,3.794,eu_news:results-22-06-2026-auction-eu-bonds-2026-06-22_en#noncomp
EU,bond,EU000A3K4EN5,2026-06-22,2026-06-25,2028-12-05,474.0,478.171,,2.744,eu_news:results-22-06-2026-auction-eu-bonds-2026-06-22_en#noncomp
EU,bond,EU000A4ERVC2,2026-06-22,2026-06-25,2036-12-12,565.0,558.028,,3.392,eu_news:results-22-06-2026-auction-eu-bonds-2026-06-22_en#noncomp
EU,bill,EU000A4EHML3,2026-07-01,2026-07-03,2026-10-09,863.0,863.0,1.76,2.343,eu_news:results-01-07-2026-auction-eu-bills-2026-07-01_en
EU,bill,EU000A4EMTG8,2026-07-01,2026-07-03,2027-01-08,1293.0,1293.0,1.24,2.433,eu_news:results-01-07-2026-auction-eu-bills-2026-07-01_en
EU,bill,EU000A4EW8B9,2026-07-01,2026-07-03,2027-07-09,1905.0,1905.0,1.28,2.557,eu_news:results-01-07-2026-auction-eu-bills-2026-07-01_en
EU,bond,EU000A3KT6B1,2026-07-13,2026-07-15,2041-07-04,1443.0,894.66,1.33,3.833,eu_news:results-13-07-2026-auction-eu-bonds-2026-07-13_en
EU,bond,EU000A4ENP68,2026-07-13,2026-07-15,2029-07-12,2097.0,2071.27,1.25,2.808,eu_news:results-13-07-2026-auction-eu-bonds-2026-07-13_en
EU,bond,EU000A4EUY43,2026-07-13,2026-07-15,2033-10-12,2915.0,2903.223,1.17,3.189,eu_news:results-13-07-2026-auction-eu-bonds-2026-07-13_en
EU,bill,EU000A4EHML3,2026-07-15,2026-07-17,2026-10-09,873.0,873.0,1.42,2.371,eu_news:results-15-07-2026-auction-eu-bills-2026-07-15_en
EU,bill,EU000A4EMTG8,2026-07-15,2026-07-17,2027-01-08,1279.0,1279.0,1.26,2.532,eu_news:results-15-07-2026-auction-eu-bills-2026-07-15_en
EU,bill,EU000A4EW8B9,2026-07-15,2026-07-17,2027-07-09,1850.0,1850.0,1.13,2.724,eu_news:results-15-07-2026-auction-eu-bills-2026-07-15_en
EU,bill,EU000A4EJ3Q5,2026-08-05,2026-08-07,2026-11-06,802.0,802.0,2.2,2.4,eu_news:results-05-08-2026-auction-eu-bills-2026-08-05_en
EU,bill,EU000A4EPCJ1,2026-08-05,2026-08-07,2027-02-05,1383.0,1383.0,1.36,2.533,eu_news:results-05-08-2026-auction-eu-bills-2026-08-05_en
EU,bill,EU000A4EYPS6,2026-08-05,2026-08-07,2027-08-06,1900.0,1900.0,1.65,2.704,eu_news:results-05-08-2026-auction-eu-bills-2026-08-05_en
EU,bond,EU000A4EJF17,2026-08-31,2026-09-02,2040-12-12,1788.0,1713.244,1.16,4.013,eu_news:results-31-08-2026-auction-eu-bonds-2026-08-31_en
EU,bond,EU000A4ERVC2,2026-08-31,2026-09-02,2036-12-12,2302.0,2216.688,1.51,3.689,eu_news:results-31-08-2026-auction-eu-bonds-2026-08-31_en
EU,bond,EU000A4EXVK3,2026-08-31,2026-09-02,2031-10-13,2183.0,2145.452,1.22,3.246,eu_news:results-31-08-2026-auction-eu-bonds-2026-08-31_en
EU,bill,EU000A4E0DU7,2026-09-02,2026-09-04,2027-09-03,1920.0,1920.0,1.48,2.918,eu_news:results-02-09-2026-auction-eu-bills-2026-09-02_en
EU,bill,EU000A4ELKS4,2026-09-02,2026-09-04,2026-12-04,946.0,946.0,1.9,2.499,eu_news:results-02-09-2026-auction-eu-bills-2026-09-02_en
EU,bill,EU000A4EQY98,2026-09-02,2026-09-04,2027-03-05,1400.0,1400.0,1.45,2.682,eu_news:results-02-09-2026-auction-eu-bills-2026-09-02_en
