date,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_10Y
2018-09-11,0.46516613438380894
2018-09-12,0.4321997252642982
2018-09-13,0.46159310493235317
2018-09-14,0.4829293916222026
2018-09-17,0.4908558764767408
2018-09-18,0.5039115210894627
2018-09-19,0.5193924698010948
2018-09-20,0.5202739194381003
2018-09-21,0.49322848119396934
2018-09-24,0.5403904599427358
2018-09-25,0.5654457043184609
2018-09-26,0.5632325213891374
2018-09-27,0.5486298236272802
2018-09-28,0.5091276886227742
2018-10-01,0.5392670129467678
2018-10-02,0.47807837834624145
2018-10-03,0.4985365492214848
2018-10-04,0.5631430593745899
2018-10-05,0.5958080383648499
2018-10-08,0.5847991114677269
2018-10-09,0.5906548148762889
2018-10-10,0.6022768422888536
2018-10-11,0.5794345500196885
2018-10-12,0.5568402979234861
2018-10-15,0.5490314019036742
2018-10-16,0.5353802677139354
2018-10-17,0.5153312073608829
2018-10-18,0.5107796150769692
2018-10-19,0.4847774281485675
2018-10-22,0.4912815034356841
2018-10-23,0.4647534737858443
2018-10-24,0.452821898076885
2018-10-25,0.4502251778292292
2018-10-26,0.4113428724235
2018-10-29,0.44782758565292635
2018-10-30,0.42532702513413234
2018-10-31,0.4342568662405739
2018-11-01,0.45746570332602676
2018-11-02,0.4846928419993377
2018-11-05,0.4813594336349949
2018-11-06,0.48226624285727304
2018-11-07,0.49815535521879273
2018-11-08,0.5076617794284326
2018-11-09,0.47347488491080725
2018-11-12,0.44677307470741834
2018-11-13,0.45619703136669454
2018-11-14,0.47240191796674225
2018-11-15,0.4235837438898491
2018-11-16,0.4312189812186098
2018-11-19,0.4466936319196462
2018-11-20,0.4140571396637176
2018-11-21,0.430074541812167
2018-11-22,0.43846687022041486
2018-11-23,0.4034291790481692
2018-11-26,0.42840674339048146
2018-11-27,0.40957854612699407
2018-11-28,0.4177935829959152
2018-11-29,0.38829405916258963
2018-11-30,0.36903243449006506
2018-12-03,0.3725785040800451
2018-12-04,0.34478823126721014
2018-12-05,0.33114630135393774
2018-12-06,0.2946934069181042
2018-12-07,0.3292498064648841
2018-12-10,0.30911545342298385
2018-12-11,0.3010056630263618
2018-12-12,0.3194028123157473
