date,APP:redemptions
2014-10-01,0.0
2014-11-01,12.0
2014-12-01,4.0
2015-01-01,28.0
2015-02-01,82.0
2015-03-01,66.0
2015-04-01,201.0
2015-05-01,74.0
2015-06-01,378.0
2015-07-01,185.0
2015-08-01,491.0
2015-09-01,554.0
2015-10-01,813.0
2015-11-01,446.0
2015-12-01,430.0
2016-01-01,1457.0
2016-02-01,612.0
2016-03-01,994.0
2016-04-01,739.0
2016-05-01,1711.0
2016-06-01,1514.0
2016-07-01,1377.0
2016-08-01,766.0
2016-09-01,952.0
2016-10-01,1562.0
2016-11-01,902.0
2016-12-01,1451.0
2017-01-01,3109.0
2017-02-01,1520.0
2017-03-01,3260.0
2017-04-01,5069.0
2017-05-01,2392.0
2017-06-01,4464.0
2017-07-01,7225.0
2017-08-01,1123.0
2017-09-01,5755.0
2017-10-01,9975.0
2017-11-01,3104.0
2017-12-01,2261.0
2018-01-01,8293.0
2018-02-01,8711.0
2018-03-01,6057.0
2018-04-01,24708.0
2018-05-01,8305.0
2018-06-01,15921.0
2018-07-01,18925.0
2018-08-01,2097.0
2018-09-01,9023.0
2018-10-01,23900.0
2018-11-01,7119.0
2018-12-01,14526.0
2019-01-01,25538.0
2019-02-01,11985.0
2019-03-01,13758.0
2019-04-01,23469.0
2019-05-01,16937.0
2019-06-01,11161.0
2019-07-01,21203.0
2019-08-01,5612.0
2019-09-01,15281.0
2019-10-01,32808.0
2019-11-01,14033.0
2019-12-01,12757.0
2020-01-01,32001.0
2020-02-01,6836.0
2020-03-01,19017.0
2020-04-01,34209.0
2020-05-01,15563.0
2020-06-01,17963.0
2020-07-01,34323.0
2020-08-01,2699.0
2020-09-01,23943.0
2020-10-01,34118.0
2020-11-01,30143.0
2020-12-01,11438.0
2021-01-01,25621.0
2021-02-01,13615.0
2021-03-01,18879.0
2021-04-01,31425.0
2021-05-01,16415.0
2021-06-01,22230.0
2021-07-01,27289.0
2021-08-01,8315.0
2021-09-01,27705.0
2021-10-01,24869.0
2021-11-01,19878.0
2021-12-01,10828.0
2022-01-01,34808.0
2022-02-01,8753.0
2022-03-01,21197.0
2022-04-01,43423.0
2022-05-01,23845.0
2022-06-01,17294.0
2022-07-01,26067.0
2022-08-01,8209.0
2022-09-01,44157.0
2022-10-01,37383.0
2022-11-01,18347.0
2022-12-01,15659.0
2023-01-01,29335.0
2023-02-01,22789.0
2023-03-01,41621.0
2023-04-01,29976.0
2023-05-01,36085.0
2023-06-01,22880.0
2023-07-01,31011.0
2023-08-01,17846.0
2023-09-01,21265.0
2023-10-01,52578.0
2023-11-01,17619.0
2023-12-01,8560.0
2024-01-01,33187.0
2024-02-01,25245.0
2024-03-01,31015.0
2024-04-01,34227.0
2024-05-01,38218.0
2024-06-01,21699.0
2024-07-01,32786.0
2024-08-01,11587.0
2024-09-01,25648.0
2024-10-01,34324.0
2024-11-01,26688.0
2024-12-01,20470.0
2025-01-01,22002.0
2025-02-01,36848.0
2025-03-01,41524.0
2025-04-01,35618.0
2025-05-01,26842.0
2025-06-01,25029.0
2025-07-01,29445.0
2025-08-01,14274.0
2025-09-01,24610.0
2025-10-01,40237.0
2025-11-01,24933.0
2025-12-01,12395.0
2026-01-01,16799.0
2026-02-01,41305.0
2026-03-01,32385.0
2026-04-01,51107.0
2026-05-01,28932.0
2026-06-01,25102.0
2026-07-01,27039.0
2026-08-01,14888.0
2026-09-01,19036.0
2026-10-01,25837.0
2026-11-01,34540.0
2026-12-01,10429.0
2027-01-01,25280.0
2027-02-01,27868.0
2027-03-01,17762.0
2027-04-01,33181.0
2027-05-01,30087.0
2027-06-01,25909.0
2027-07-01,34639.0
2027-08-01,16343.0
2027-09-01,17652.0
2027-10-01,32072.0
2027-11-01,27183.0
2027-12-01,5186.0
