date,DE:retention
2026-01-05,1460.0
2026-01-06,1453.0
2026-01-07,1457.9
2026-01-12,966.0
2026-01-13,1403.4
2026-01-14,667.3
2026-01-19,1373.0
2026-01-21,438.4
2026-01-27,1367.3
2026-01-28,1395.6
2026-02-02,715.0
2026-02-03,146.1
2026-02-04,803.4
2026-02-09,398.0
2026-02-10,1189.0
2026-02-11,590.1
2026-02-16,1025.0
2026-02-17,1409.8
2026-02-18,1261.9
2026-02-25,325.8
2026-03-02,460.0
2026-03-03,2174.7
2026-03-04,40.0
2026-03-09,2428.0
2026-03-10,1128.9
2026-03-11,1189.0
2026-03-16,1203.0
2026-03-18,594.4
2026-03-24,1452.0
2026-03-25,274.4
2026-03-30,184.6
2026-03-31,1189.0
2026-04-01,948.0
2026-04-07,454.0
2026-04-08,1182.8
2026-04-13,788.0
2026-04-14,1047.0
2026-04-15,496.7
2026-04-20,218.5
2026-04-21,1718.0
2026-04-22,79.1
2026-04-29,1165.6
2026-05-04,940.2
2026-05-05,23.3
2026-05-06,838.4
2026-05-11,573.7
2026-05-12,1370.0
2026-05-13,374.7
2026-05-18,107.0
2026-05-19,1155.6
2026-05-20,1155.0
2026-05-27,450.6
2026-06-01,1071.0
2026-06-02,1142.6
2026-06-08,823.0
2026-06-09,243.7
2026-06-10,1018.4
2026-06-15,342.0
2026-06-16,1176.3
2026-06-17,393.1
2026-06-23,1193.3
2026-06-24,218.2
2026-07-01,827.0
2026-07-06,2591.0
2026-07-07,183.4
2026-07-08,2098.0
2026-07-13,1074.0
2026-07-14,1777.7
2026-07-15,720.5
2026-07-20,1042.4
2026-07-21,1447.2
2026-07-22,292.6
2026-07-29,1503.0
2026-08-04,1448.1
2026-08-05,228.4
2026-08-10,494.0
2026-08-11,1372.5
2026-08-12,550.1
2026-08-17,925.0
2026-08-19,2231.0
2026-08-24,365.0
2026-08-25,1172.0
2026-08-26,118.5
2026-09-01,1219.4
2026-09-07,815.0
2026-09-08,124.1
