date,BSI.M.U2.Y.V.M10.X.I.U2.2300.Z01.A
2014-10-01,6.001783316109588
2014-11-01,6.793767772573944
2014-12-01,7.95951715215415
2015-01-01,8.77739803707982
2015-02-01,8.956401369457033
2015-03-01,9.439657775636267
2015-04-01,10.438305121785518
2015-05-01,10.846813081014584
2015-06-01,11.238834133208652
2015-07-01,11.697108423247403
2015-08-01,11.476756130577437
2015-09-01,11.106582951041254
2015-10-01,11.431130758925633
2015-11-01,10.983102010556012
2015-12-01,10.653418354135425
2016-01-01,10.406714448120713
2016-02-01,10.485208072469154
2016-03-01,10.076670289367007
2016-04-01,9.72115781750138
2016-05-01,9.282172231181729
2016-06-01,8.6395458410794
2016-07-01,8.466324977669881
2016-08-01,8.494192906008301
2016-09-01,8.437551949801826
2016-10-01,8.086069016412623
2016-11-01,8.379185907003727
2016-12-01,8.772977546825445
2017-01-01,8.603542880083559
2017-02-01,8.381949099811337
2017-03-01,9.07233655593991
2017-04-01,9.132005748190242
2017-05-01,9.09901052642683
2017-06-01,9.70718515054212
2017-07-01,9.404056980141506
2017-08-01,9.61249853443884
2017-09-01,9.645340846221263
2017-10-01,9.524403423023431
2017-11-01,9.159631889314834
2017-12-01,8.765665669986511
2018-01-01,8.875791753115504
2018-02-01,8.335804528198022
2018-03-01,7.43747749291539
2018-04-01,7.391684953885158
2018-05-01,7.75548113695228
2018-06-01,7.383385720681512
2018-07-01,7.043629935332785
2018-08-01,6.568376303495005
2018-09-01,6.749345504810367
2018-10-01,6.830260508413555
2018-11-01,6.750456996693077
2018-12-01,6.817403970215863
2019-01-01,6.339038059745428
2019-02-01,6.756246968370605
2019-03-01,7.437123981146265
2019-04-01,7.394651867010094
2019-05-01,7.182746008470131
2019-06-01,7.169733958524915
2019-07-01,7.757993734087809
2019-08-01,8.387890330988345
2019-09-01,8.219105669290583
2019-10-01,8.464841629921448
2019-11-01,8.26516435764244
2019-12-01,7.883431775843408
2020-01-01,7.948924839411342
2020-02-01,8.03903137071118
2020-03-01,10.592374854698683
2020-04-01,11.84292409107941
2020-05-01,12.335378788002572
2020-06-01,12.886964048083227
2020-07-01,13.645183255661376
2020-08-01,13.443422104949443
2020-09-01,13.603660492213198
2020-10-01,13.852929785391854
2020-11-01,14.769307246154483
2020-12-01,15.766811983245098
2021-01-01,16.36463667409711
2021-02-01,16.563337965869064
2021-03-01,13.747124808692025
2021-04-01,12.474666260761458
2021-05-01,12.073848098707396
2021-06-01,11.887442166423368
2021-07-01,11.288520781101031
2021-08-01,11.41667680891425
2021-09-01,11.464866773787396
2021-10-01,10.8598718077338
2021-11-01,10.071136209296982
2021-12-01,9.864457692112595
2022-01-01,9.642938333300322
2022-02-01,9.507084239368236
2022-03-01,9.113485659779919
2022-04-01,8.514848861063262
2022-05-01,8.162817684881652
2022-06-01,7.475242380661196
2022-07-01,6.875025849373206
2022-08-01,6.8224929064100825
2022-09-01,5.187237139311529
2022-10-01,3.6397325883146703
2022-11-01,2.139120639558234
2022-12-01,0.08998281850478573
2023-01-01,-1.3692590653675007
2023-02-01,-3.19661945934806
2023-03-01,-4.778801064531968
2023-04-01,-5.818090287606415
2023-05-01,-7.002945684560668
2023-06-01,-8.045420619388132
2023-07-01,-8.975413354013572
2023-08-01,-10.380499842935754
2023-09-01,-10.033722639843612
2023-10-01,-10.035826050624653
2023-11-01,-9.546762715420055
2023-12-01,-8.579307794939572
2024-01-01,-8.587094332972335
2024-02-01,-7.727271953145786
2024-03-01,-6.799815504413531
2024-04-01,-5.80532789650392
2024-05-01,-4.994699048343032
2024-06-01,-3.5589821104035413
2024-07-01,-3.1112103251898837
2024-08-01,-2.0723118827818188
2024-09-01,-1.1112964310690643
2024-10-01,0.18954719271022658
2024-11-01,1.3907075218342557
2024-12-01,1.920951521084513
2025-01-01,2.639130017716562
2025-02-01,3.3904531646955505
2025-03-01,3.9978690004806916
2025-04-01,4.69191069747521
2025-05-01,4.987828599045185
2025-06-01,4.816851181878334
2025-07-01,5.063248365198447
2025-08-01,5.034680355073995
2025-09-01,4.997103325728158
2025-10-01,5.246240680890901
2025-11-01,4.675322979591701
2025-12-01,4.807676413611062
2026-01-01,5.044721412846864
2026-02-01,4.61596922747991
2026-03-01,4.721640297636243
2026-04-01,3.9110300898618666
2026-05-01,3.7101821330899565
2026-06-01,3.4655328619042747
2026-07-01,3.148753776826707
