date,ILM.W.U2.C.L020000.U2.EUR
2014-09-19,185527.0
2014-09-26,234117.0
2014-10-03,237131.0
2014-10-10,227796.0
2014-10-17,213852.0
2014-10-24,197150.0
2014-10-31,250027.0
2014-11-07,225181.0
2014-11-14,212688.0
2014-11-21,197579.0
2014-11-28,244076.0
2014-12-05,205792.0
2014-12-12,215191.0
2014-12-19,284020.0
2014-12-26,299964.0
2015-01-02,364494.0
2015-01-09,316096.0
2015-01-16,288935.0
2015-01-23,243754.0
2015-01-30,264523.0
2015-02-06,269510.0
2015-02-13,272314.0
2015-02-20,271373.0
2015-02-27,272032.0
2015-03-06,254023.0
2015-03-13,267953.0
2015-03-20,275239.0
2015-03-27,356626.0
2015-04-03,349224.0
2015-04-10,364940.0
2015-04-17,373607.0
2015-04-24,355647.0
2015-05-01,407792.0
2015-05-08,407502.0
2015-05-15,407327.0
2015-05-22,396593.0
2015-05-29,415123.0
2015-06-05,424845.0
2015-06-12,450864.0
2015-06-19,421283.0
2015-06-26,475740.0
2015-07-03,504823.0
2015-07-10,507347.0
2015-07-17,533180.0
2015-07-24,503815.0
2015-07-31,549534.0
2015-08-07,581766.0
2015-08-14,578332.0
2015-08-21,597880.0
2015-08-28,593023.0
2015-09-04,616812.0
2015-09-11,626523.0
2015-09-18,609021.0
2015-09-25,580586.0
2015-10-02,621763.0
2015-10-09,644257.0
2015-10-16,622121.0
2015-10-23,613773.0
2015-10-30,632707.0
2015-11-06,679130.0
2015-11-13,675951.0
2015-11-20,644591.0
2015-11-27,658073.0
2015-12-04,697909.0
2015-12-11,733267.0
2015-12-18,739458.0
2015-12-25,757053.0
2016-01-01,768419.0
2016-01-08,773697.0
2016-01-15,763679.0
2016-01-22,757158.0
2016-01-29,778386.0
2016-02-05,788007.0
2016-02-12,782066.0
2016-02-19,752886.0
2016-02-26,786126.0
2016-03-04,811262.0
2016-03-11,818475.0
2016-03-18,785997.0
2016-03-25,768415.0
2016-04-01,844222.0
2016-04-08,883631.0
2016-04-15,865800.0
2016-04-22,854811.0
2016-04-29,899320.0
2016-05-06,949240.0
2016-05-13,944805.0
2016-05-20,911931.0
2016-05-27,920831.0
2016-06-03,968510.0
2016-06-10,984339.0
2016-06-17,932612.0
2016-06-24,910950.0
2016-07-01,1023403.0
2016-07-08,1030681.0
2016-07-15,1007951.0
2016-07-22,985484.0
2016-07-29,1029691.0
