month,date,line,amount,source
2019-11,2019-11-29,OAT 3.75% 25 April 2021,69.0,1119 fusionné_opérations mensuelles_UK.pdf
2019-12,2019-12-31,OAT 0.00% 25 February 2021,44.0,1219 fusionné_opérations mensuelles_UK.pdf
2019-12,2019-12-31,OAT 0.00% 25 May 2021,623.0,1219 fusionné_opérations mensuelles_UK.pdf
2019-12,2019-12-31,OAT 3.75% 25 April 2021,25.0,1219 fusionné_opérations mensuelles_UK.pdf
2020-01,2020-01-31,,0.0,0120_monthly operations_uk.pdf
2020-02,2020-02-28,OAT 0.00% 25/02/2021,1000.0,0220_opérations mensuelles_UK.pdf
2020-02,2020-02-28,OAT 0.00% 25/05/2021,100.0,0220_opérations mensuelles_UK.pdf
2020-02,2020-02-28,OAT 3.25% 25/10/2021,325.0,0220_opérations mensuelles_UK.pdf
2020-02,2020-02-28,OAT 3.75% 25/04/2021,755.0,0220_opérations mensuelles_UK.pdf
2020-02,2020-02-28,OATi 0.10% 25/07/2021,120.0,0220_opérations mensuelles_UK.pdf
2020-03,2020-03-31,OAT 0.00% 25 February 2021,100.0,0320_opérations mensuelles_UK.pdf
2020-03,2020-03-31,OAT 3.25% 25 October 2021,50.0,0320_opérations mensuelles_UK.pdf
2020-03,2020-03-31,OAT 3.75% 25 April 2021,150.0,0320_opérations mensuelles_UK.pdf
2020-03,2020-03-31,OATi 0.10% 25 July 2021,125.0,0320_opérations mensuelles_UK.pdf
2020-04,2020-04-30,,0.0,0420_opérations mensuelles_UK.pdf
2020-05,2020-05-29,,0.0,0520_opérations mensuelles_UK.pdf
2020-06,2020-06-30,,0.0,0620-opérations mensuelles_UK.pdf
2020-07,2020-07-31,OAT 0.00% 25/02/2021,5020.0,0720_opérations mensuelles_UK.pdf
2020-07,2020-07-31,OAT 0.00% 25/05/2021,657.0,0720_opérations mensuelles_UK.pdf
2020-07,2020-07-31,OAT 2.25% 25/10/2022,1000.0,0720_opérations mensuelles_UK.pdf
2020-07,2020-07-31,OAT 3.00% 25/04/2022,200.0,0720_opérations mensuelles_UK.pdf
2020-07,2020-07-31,OAT 3.25% 25/10/2021,50.0,0720_opérations mensuelles_UK.pdf
2020-07,2020-07-31,OAT 3.75% 25/04/2021,200.0,0720_opérations mensuelles_UK.pdf
2020-08,2020-08-31,OAT 0.00% 25/02/2021,2530.0,0820_opérations mensuelles_UK.pdf
2020-08,2020-08-31,OAT 0.00% 25/05/2021,280.0,0820_opérations mensuelles_UK.pdf
2020-08,2020-08-31,OAT 0.00% 25/05/2022,850.0,0820_opérations mensuelles_UK.pdf
2020-08,2020-08-31,OAT 3.00% 25/04/2022,250.0,0820_opérations mensuelles_UK.pdf
2020-08,2020-08-31,OAT 3.75% 25/04/2021,200.0,0820_opérations mensuelles_UK.pdf
2020-09,2020-09-30,OAT 0.00% 25/02/2021,925.0,0920_opérations mensuelles_UK.pdf
2020-09,2020-09-30,OAT 0.00% 25/02/2022,132.0,0920_opérations mensuelles_UK.pdf
2020-09,2020-09-30,OAT 0.00% 25/05/2021,733.0,0920_opérations mensuelles_UK.pdf
2020-09,2020-09-30,OAT 2.25% 25/10/2022,1125.0,0920_opérations mensuelles_UK.pdf
2020-10,2020-10-30,,0.0,1020-opérations mensuelles_UK.pdf
2020-11,2020-11-30,,0.0,1120_opérations mensuelles_UK.pdf
2020-12,2020-12-31,OAT 0.00% 25/02/2022,1401.0,1220_opérations mensuelles_UK.pdf
2020-12,2020-12-31,OAT 0.00% 25/05/2021,100.0,1220_opérations mensuelles_UK.pdf
2020-12,2020-12-31,OAT 0.00% 25/05/2022,78.0,1220_opérations mensuelles_UK.pdf
2020-12,2020-12-31,OAT 3.00% 25/04/2022,205.0,1220_opérations mensuelles_UK.pdf
2020-12,2020-12-31,OAT 3.25% 25/10/2021,50.0,1220_opérations mensuelles_UK.pdf
2020-12,2020-12-31,OAT 3.75% 25/04/2021,190.0,1220_opérations mensuelles_UK.pdf
2021-01,2021-01-29,OAT 0.00% 25/02/2022,1075.0,0121_monthly review_UK.pdf
2021-02,2021-02-26,OAT 0.00% 25/02/2022,1425.0,0221_opérations mensuelles_UK.pdf
2021-03,2021-03-31,OAT 0.00% 25/02/2022,2105.0,0321_opérations mensuelles_UK.pdf
2021-03,2021-03-31,OAT 0.00% 25/05/2022,20.0,0321_opérations mensuelles_UK.pdf
2021-03,2021-03-31,OAT 2.25% 25/10/2022,150.0,0321_opérations mensuelles_UK.pdf
2021-03,2021-03-31,OAT 3.00% 25/04/2022,150.0,0321_opérations mensuelles_UK.pdf
2021-03,2021-03-31,OAT 8.25% 25/04/2022,75.0,0321_opérations mensuelles_UK.pdf
2021-04,2021-04-30,OAT 0.00% 25/02/2022,2441.0,0421_opérations mensuelles_UK.pdf
2021-04,2021-04-30,OAT 3.00% 25/04/2022,59.0,0421_opérations mensuelles_UK.pdf
2021-05,2021-05-31,"OAT 0,00% 25/02/2022",1233.0,0521_opérations mensuelles_UK.pdf
2021-05,2021-05-31,OAT 0.00% 25/05/2022,742.0,0521_opérations mensuelles_UK.pdf
2021-05,2021-05-31,OAT 3.00% 25/04/2022,525.0,0521_opérations mensuelles_UK.pdf
2021-07,2021-07-30,,0.0,0721_op%C3%A9rations%20mensuelles_UK.pdf
2021-08,2021-08-31,,0.0,0821_opérations mensuelles_UK.pdf
2021-09,2021-09-30,,0.0,0921_opérations mensuelles_uk.pdf
2021-10,2021-10-29,OAT 0.00% 25/02/2022,1008.0,1021_opérations mensuelles_UK.pdf
2021-10,2021-10-29,OAT 0.00% 25/02/2023,1400.0,1021_opérations mensuelles_UK.pdf
2021-10,2021-10-29,OAT 1.75% 25/05/2023,607.0,1021_opérations mensuelles_UK.pdf
2021-10,2021-10-29,OAT 2.25% 25/10/2022,200.0,1021_opérations mensuelles_UK.pdf
2021-11,2021-11-30,OAT 0.00% 25/02/2022,1057.0,1121_opérations mensuelles_UK.pdf
2021-11,2021-11-30,OAT 0.00% 25/02/2023,835.0,1121_opérations mensuelles_UK.pdf
