month,date,line,amount,source
2025-06,2025-06-30,OAT 3.50% 25/04/2026,1875.0,0625_op%C3%A9ration%20mensuelles_UK.pdf
2025-07,2025-07-31,OAT 0.00% 25/02/2026,700.0,0725_op%C3%A9rations%20mensuelles_UK.pdf
2025-07,2025-07-31,OAT 0.25% 25/11/2026,293.0,0725_op%C3%A9rations%20mensuelles_UK.pdf
2025-07,2025-07-31,OAT 0.50% 25/05/2026,793.0,0725_op%C3%A9rations%20mensuelles_UK.pdf
2025-07,2025-07-31,OAT 1.00% 25/05/2027,725.0,0725_op%C3%A9rations%20mensuelles_UK.pdf
2025-07,2025-07-31,OAT 2.50% 24/09/2026,732.0,0725_op%C3%A9rations%20mensuelles_UK.pdf
2025-07,2025-07-31,OAT 3.50 % 25/04/2026,1807.0,0725_op%C3%A9rations%20mensuelles_UK.pdf
2025-08,2025-08-29,OAT 0.00% 25/02/2026,1469.0,0825_op%C3%A9rations%20mensuelles_UK.pdf
2025-08,2025-08-29,OAT 0.50% 25/05/2026,1216.0,0825_op%C3%A9rations%20mensuelles_UK.pdf
2025-08,2025-08-29,OAT 1.00% 25/11/2025,150.0,0825_op%C3%A9rations%20mensuelles_UK.pdf
2025-08,2025-08-29,OAT 2.50% 24/09/2026,1075.0,0825_op%C3%A9rations%20mensuelles_UK.pdf
2025-08,2025-08-29,OAT 3.50 % 25/04/2026,1265.0,0825_op%C3%A9rations%20mensuelles_UK.pdf
2025-09,2025-09-30,"OAT 0,00% 25/02/2026",501.0,0925_op%C3%A9rations_mensuelles_UK.pdf
2025-09,2025-09-30,"OAT 0,25% 25/11/2026",811.0,0925_op%C3%A9rations_mensuelles_UK.pdf
2025-09,2025-09-30,"OAT 0,50% 25/05/2026",495.0,0925_op%C3%A9rations_mensuelles_UK.pdf
