date,ILM.W.U2.C.A070200.U2.EUR
2019-02-22,245408.0
2019-03-01,239620.0
2019-03-08,239972.0
2019-03-15,238995.0
2019-03-22,239880.0
2019-03-29,238808.0
2019-04-05,238610.2959504
2019-04-12,238101.0
2019-04-19,237844.0
2019-04-26,235732.0
2019-05-03,233086.0
2019-05-10,231461.0
2019-05-17,230836.0
2019-05-24,229670.0
2019-05-31,229673.0
2019-06-07,229551.0
2019-06-14,229247.0
2019-06-21,227893.0
2019-06-28,228815.0
2019-07-05,227993.0
2019-07-12,226874.0
2019-07-19,225814.0
2019-07-26,225450.0
2019-08-02,221942.0
2019-08-09,220955.0
2019-08-16,221150.0
2019-08-23,221733.0
2019-08-30,221293.0
2019-09-06,220325.0
2019-09-13,220854.0
2019-09-20,221277.0
2019-09-27,220899.0
2019-10-04,220685.0
2019-10-11,220732.0
2019-10-18,220768.0
2019-10-25,215692.0
2019-11-01,215136.0
2019-11-08,215442.0
2019-11-15,215949.0
2019-11-22,215629.0
2019-11-29,215278.0
2019-12-06,214679.0
2019-12-13,214667.0
2019-12-20,214818.0
2019-12-27,215086.0
2020-01-03,214834.0
2020-01-10,213726.0
2020-01-17,212052.0
2020-01-24,210913.0
2020-01-31,208374.0
2020-02-07,204488.0
2020-02-14,202470.0
2020-02-21,201356.0
2020-02-28,201344.0
2020-03-06,199801.0
2020-03-13,199812.0
2020-03-20,202239.0
2020-03-27,204679.0
2020-04-03,204706.0
2020-04-10,205629.0
2020-04-17,204924.0
2020-04-24,205614.0
2020-05-01,201958.0
2020-05-08,202689.0
2020-05-15,202399.0
2020-05-22,202369.0
2020-05-29,202727.0
2020-06-05,203261.0
2020-06-12,202999.0
2020-06-19,202672.0
2020-06-26,202680.0
2020-07-03,203479.0
2020-07-10,202751.0
2020-07-17,202727.0
2020-07-24,203182.0
2020-07-31,202848.0
2020-08-07,203171.0
2020-08-14,202050.0
2020-08-21,202410.0
2020-08-28,203079.0
2020-09-04,201759.0
2020-09-11,201072.0
2020-09-18,200815.0
2020-09-25,200757.0
2020-10-02,199848.0
2020-10-09,199715.0
2020-10-16,198660.0
2020-10-23,198349.0
2020-10-30,194007.0
2020-11-06,192559.0
2020-11-13,193232.0
2020-11-20,193235.0
2020-11-27,194083.0
2020-12-04,194443.0
2020-12-11,194459.0
2020-12-18,195623.0
2020-12-25,196004.0
2021-01-01,196274.0
2021-01-08,196309.0
2021-01-15,196494.0
2021-01-22,196446.0
2021-01-29,195346.0
2021-02-05,195347.0
2021-02-12,195509.0
2021-02-19,195864.0
2021-02-26,196004.0
2021-03-05,195050.0
2021-03-12,194316.0
2021-03-19,194143.0
2021-03-26,195280.0
2021-04-02,196118.0
2021-04-09,196546.0
2021-04-16,194764.0
2021-04-23,194389.0
2021-04-30,188052.0
2021-05-07,185951.0
2021-05-14,185790.0
2021-05-21,186269.0
2021-05-28,186372.0
2021-06-04,186578.0
2021-06-11,185820.0
2021-06-18,185806.0
2021-06-25,186003.0
2021-07-02,186223.0
2021-07-09,186227.0
2021-07-16,186557.0
2021-07-23,186445.0
2021-07-30,187074.0
2021-08-06,185785.7812
2021-08-13,185817.0
2021-08-20,186607.0
2021-08-27,186070.0
2021-09-03,183225.0
2021-09-10,182389.0
2021-09-17,181638.0
2021-09-24,182284.0
2021-10-01,182263.0
2021-10-08,182144.0
2021-10-15,181778.0
2021-10-22,182308.0
2021-10-29,177427.0
2021-11-05,178198.0
2021-11-12,177846.0
2021-11-19,178023.0
2021-11-26,176063.0
2021-12-03,174990.0
2021-12-10,174977.0
2021-12-17,172161.0
2021-12-24,172775.0
2021-12-31,173007.0
2022-01-07,172954.0
2022-01-14,172814.0
2022-01-21,173174.0
2022-01-28,172332.0
2022-02-04,169796.0
2022-02-11,170654.0
2022-02-18,171474.0
2022-02-25,171625.0
2022-03-04,169227.0
2022-03-11,169509.0
2022-03-18,169714.0
2022-03-25,170384.0
2022-04-01,168157.0
2022-04-08,168592.0
2022-04-15,168643.0
2022-04-22,166817.0
2022-04-29,164825.0
2022-05-06,164961.0
2022-05-13,165305.0
2022-05-20,165299.0
2022-05-27,164442.0
2022-06-03,164982.0
2022-06-10,165271.0
2022-06-17,165937.0
2022-06-24,166976.0
2022-07-01,165629.0
2022-07-08,166094.0
2022-07-15,165390.0
2022-07-22,166614.0
2022-07-29,166769.0
2022-08-05,165691.0
2022-08-12,166386.0
2022-08-19,167163.0
2022-08-26,167608.0
2022-09-02,165886.0
2022-09-09,166256.0
2022-09-16,166703.0
2022-09-23,167067.0
2022-09-30,166500.0
2022-10-07,166228.0
2022-10-14,166930.0
2022-10-21,167320.0
2022-10-28,164186.0
2022-11-04,162052.0
2022-11-11,163194.0
2022-11-18,163691.0
2022-11-25,164724.0
2022-12-02,165461.0
2022-12-09,165872.0
2022-12-16,165437.0
2022-12-23,165257.0
2022-12-30,164995.0
2023-01-06,181454.0
2023-01-13,179619.0
2023-01-20,178497.0
2023-01-27,178254.0
2023-02-03,175989.0
2023-02-10,176304.0
2023-02-17,176477.0
2023-02-24,178153.0
2023-03-03,178345.0
2023-03-10,178915.0
2023-03-17,178548.0
2023-03-24,178154.0
2023-03-31,177885.0
2023-04-07,178413.0
2023-04-14,178743.0
2023-04-21,180999.0
2023-04-28,182775.0
2023-05-05,180379.0
2023-05-12,181236.0
2023-05-19,181583.0
2023-05-26,184653.0
2023-06-02,186209.0
2023-06-09,186721.0
2023-06-16,186176.0
2023-06-23,186679.0
