ISIN,Instrument,Maturity,Coupon,Outstanding amount,Date of data,To be quoted
"EU000A28X702","Bonds","10/06/2035","0.13%","-","-","N"
"EU000A28X702","Bonds","10/06/2035","-","1745","05/09/2026","N"
"EU000A283859","SURE social bonds","04/10/2030","0.00%","-","-","N"
"EU000A283859","SURE social bonds","04/10/2030","-","10000","05/09/2026","N"
"EU000A283867","SURE social bonds","04/10/2040","0.10%","-","-","N"
"EU000A283867","SURE social bonds","04/10/2040","-","7000","05/09/2026","N"
"EU000A284451","SURE social bonds","04/11/2025","0.00%","-","-","N"
"EU000A284469","SURE social bonds","04/11/2050","0.30%","-","-","N"
"EU000A284469","SURE social bonds","04/11/2050","-","10000","05/09/2026","N"
"EU000A285VM2","SURE social bonds","04/07/2035","0.00%","-","-","N"
"EU000A285VM2","SURE social bonds","04/07/2035","-","8500","05/09/2026","N"
"EU000A287074","SURE social bonds","02/06/2028","0.00%","-","-","N"
"EU000A287074","SURE social bonds","02/06/2028","-","10000","05/09/2026","N"
"EU000A3KM903","SURE social bonds","04/06/2036","0.20%","-","-","N"
"EU000A3KM903","SURE social bonds","04/06/2036","-","9000","05/09/2026","N"
"EU000A3KNYF7","SURE social bonds","04/03/2026","0.00%","-","-","N"
"EU000A3KNYG5","SURE social bonds","02/05/2046","0.45%","-","-","N"
"EU000A3KNYG5","SURE social bonds","02/05/2046","-","5000","05/09/2026","N"
"EU000A3KP2Z3","Bonds","22/04/2036","0.25%","-","-","N"
"EU000A3KP2Z3","Bonds","22/04/2036","-","6075","05/09/2026","N"
"EU000A3KRJQ6","SURE social bonds","04/07/2029","0.00%","-","-","N"
"EU000A3KRJQ6","SURE social bonds","04/07/2029","-","8137","05/09/2026","N"
"EU000A3KRJR4","SURE social bonds","04/01/2047","0.75%","-","-","N"
"EU000A3KRJR4","SURE social bonds","04/01/2047","-","6000","05/09/2026","N"
"EU000A3KSXE1","Bonds","04/07/2031","0.00%","-","-","Y"
"EU000A3KSXE1","Bonds","04/07/2031","-","20000","05/09/2026","N"
"EU000A3KTGW6","Bonds","06/07/2051","0.70%","-","-","Y"
"EU000A3KTGW6","Bonds","06/07/2051","0.70%","-","-","Y"
"EU000A3KTGW6","Bonds","06/07/2051","-","16592","05/09/2026","N"
"EU000A3KTGV8","Bonds","06/07/2026","0.00%","-","-","N"
"EU000A3KT6A3","Bonds","22/04/2031","0.00%","-","-","N"
"EU000A3KT6A3","Bonds","22/04/2031","-","5250","05/09/2026","N"
"EU000A3KT6B1","Bonds","04/07/2041","0.45%","-","-","Y"
"EU000A3KT6B1","Bonds","04/07/2041","0.45%","-","-","Y"
"EU000A3KT6B1","Bonds","04/07/2041","-","18347","05/09/2026","N"
"EU000A3KWCF4","Bonds","04/10/2028","0.00%","-","-","Y"
"EU000A3KWCF4","Bonds","04/10/2028","-","19478","05/09/2026","N"
"EU000A3K4C42","NGEU green bonds","04/02/2037","0.40%","-","-","Y"
"EU000A3K4C42","NGEU green bonds","04/02/2037","-","20817","05/09/2026","N"
"EU000A3K4DA4","Bonds","22/10/2026","0.25%","-","-","N"
"EU000A3K4DA4","Bonds","22/10/2026","-","2200","05/09/2026","N"
"EU000A3K4DE6","SURE social bonds","04/06/2037","1.13%","-","-","N"
"EU000A3K4DE6","SURE social bonds","04/06/2037","-","2170","05/09/2026","N"
"EU000A3K4DD8","Bonds","06/07/2032","1.00%","-","-","Y"
"EU000A3K4DD8","Bonds","06/07/2032","-","19007","05/09/2026","N"
"EU000A3K4DG1","NGEU green bonds","04/02/2043","1.25%","-","-","Y"
"EU000A3K4DG1","NGEU green bonds","04/02/2043","-","13539","05/09/2026","N"
"EU000A3K4DJ5","Bonds","04/07/2025","0.80%","-","-","N"
"EU000A3K4DM9","NGEU green bonds","04/02/2048","2.63%","-","-","Y"
"EU000A3K4DM9","NGEU green bonds","04/02/2048","-","15317","05/09/2026","N"
"EU000A3K7MW2","Bonds","04/12/2029","1.63%","-","-","Y"
"EU000A3K7MW2","Bonds","04/12/2029","-","17771","05/09/2026","N"
"EU000A3K4DS6","Bonds","04/10/2027","2.00%","-","-","Y"
"EU000A3K4DS6","Bonds","04/10/2027","-","18751","05/09/2026","N"
"EU000A3K4DT4","Bonds","04/10/2052","2.50%","-","-","Y"
"EU000A3K4DT4","Bonds","04/10/2052","-","14447","05/09/2026","N"
"EU000A3K4DV0","Bonds","04/11/2042","3.37%","-","-","Y"
"EU000A3K4DV0","Bonds","04/11/2042","3.38%","-","-","Y"
"EU000A3K4DV0","Bonds","04/11/2042","-","15333","05/09/2026","N"
"EU000A3K4DW8","NGEU green bonds","04/02/2033","2.75%","-","-","Y"
"EU000A3K4DW8","NGEU green bonds","04/02/2033","-","17585","05/09/2026","N"
"EU000A3K4DY4","Bonds","04/03/2053","3.00%","-","-","Y"
"EU000A3K4DY4","Bonds","04/03/2053","-","17812","05/09/2026","N"
"EU000A3K4D09","SURE social bonds","04/12/2037","2.75%","-","-","N"
"EU000A3K4D09","SURE social bonds","04/12/2037","-","6548","05/09/2026","N"
"EU000A3K4C00","Bills","03/12/2021","0.00%","-","-","N"
"EU000A3K4C18","Bills","04/03/2022","0.00%","-","-","N"
"EU000A3K4C26","Bills","07/01/2022","0.00%","-","-","N"
"EU000A3K4C34","Bills","08/04/2022","0.00%","-","-","N"
"EU000A3K4C59","Bills","04/02/2022","0.00%","-","-","N"
"EU000A3K4C67","Bills","06/05/2022","0.00%","-","-","N"
"EU000A3K4C75","Bills","03/06/2022","0.00%","-","-","N"
"EU000A3K4C83","Bills","08/07/2022","0.00%","-","-","N"
"EU000A3K4C91","Bills","05/08/2022","0.00%","-","-","N"
"EU000A3K4DB2","Bills","09/09/2022","0.00%","-","-","N"
"EU000A3K4DF3","Bills","07/10/2022","0.00%","-","-","N"
"EU000A3K4DH9","Bills","04/11/2022","0.00%","-","-","N"
"EU000A3K4DL1","Bills","09/12/2022","0.00%","-","-","N"
