date,BSI.M.U2.Y.U.A20T.A.1.U2.2250.Z01.E
2014-10-01,5543758.0
2014-11-01,5543168.0
2014-12-01,5551884.0
2015-01-01,5569501.0
2015-02-01,5570013.0
2015-03-01,5574485.0
2015-04-01,5579307.0
2015-05-01,5582569.0
2015-06-01,5590443.0
2015-07-01,5596792.0
2015-08-01,5607770.0
2015-09-01,5613334.0
2015-10-01,5632399.0
2015-11-01,5639976.0
2015-12-01,5643826.0
2016-01-01,5646928.0
2016-02-01,5655599.0
2016-03-01,5659542.0
2016-04-01,5667247.0
2016-05-01,5675777.0
2016-06-01,5682952.0
2016-07-01,5691474.0
2016-08-01,5700252.0
2016-09-01,5702481.0
2016-10-01,5713863.0
2016-11-01,5723240.0
2016-12-01,5728686.0
2017-01-01,5744126.0
2017-02-01,5758708.0
2017-03-01,5769937.0
2017-04-01,5780865.0
2017-05-01,5794880.0
2017-06-01,5801158.0
2017-07-01,5811276.0
2017-08-01,5821045.0
2017-09-01,5832324.0
2017-10-01,5843763.0
2017-11-01,5853953.0
2017-12-01,5866867.0
2018-01-01,5881716.0
2018-02-01,5893522.0
2018-03-01,5906617.0
2018-04-01,5921488.0
2018-05-01,5929430.0
2018-06-01,5942409.0
2018-07-01,5956180.0
2018-08-01,5973535.0
2018-09-01,5982345.0
2018-10-01,5996598.0
2018-11-01,6009187.0
2018-12-01,6024463.0
2019-01-01,6040435.0
2019-02-01,6054236.0
2019-03-01,6070225.0
2019-04-01,6085532.0
2019-05-01,6099493.0
2019-06-01,6115509.0
2019-07-01,6134051.0
2019-08-01,6151593.0
2019-09-01,6166987.0
2019-10-01,6181183.0
2019-11-01,6199975.0
2019-12-01,6222475.0
2020-01-01,6244158.0
2020-02-01,6264759.0
2020-03-01,6255901.0
2020-04-01,6247986.0
2020-05-01,6266234.0
2020-06-01,6276558.0
2020-07-01,6291356.0
2020-08-01,6308348.0
2020-09-01,6334275.0
2020-10-01,6357915.0
2020-11-01,6375645.0
2020-12-01,6402535.0
2021-01-01,6421637.0
2021-02-01,6438843.0
2021-03-01,6454244.0
2021-04-01,6466166.0
2021-05-01,6489416.0
2021-06-01,6512758.0
2021-07-01,6538523.0
2021-08-01,6557765.0
2021-09-01,6575123.0
2021-10-01,6597653.0
2021-11-01,6620462.0
2021-12-01,6638293.0
2022-01-01,6621833.0
2022-02-01,6648103.0
2022-03-01,6674609.0
2022-04-01,6699078.0
2022-05-01,6726956.0
2022-06-01,6748970.0
2022-07-01,6773811.0
2022-08-01,6791255.0
2022-09-01,6806314.0
2022-10-01,6819701.0
2022-11-01,6829455.0
2022-12-01,6833241.0
2023-01-01,6862990.0
2023-02-01,6867125.0
2023-03-01,6869452.0
2023-04-01,6871146.0
2023-05-01,6871401.0
2023-06-01,6869347.0
2023-07-01,6866610.0
2023-08-01,6867233.0
2023-09-01,6866243.0
2023-10-01,6866035.0
2023-11-01,6869273.0
2023-12-01,6867210.0
2024-01-01,6870108.0
2024-02-01,6871304.0
2024-03-01,6871961.0
2024-04-01,6873907.0
2024-05-01,6877792.0
2024-06-01,6879800.0
2024-07-01,6883359.0
2024-08-01,6891204.0
2024-09-01,6899678.0
2024-10-01,6908401.0
2024-11-01,6919472.0
2024-12-01,6929447.0
2025-01-01,6942801.0
2025-02-01,6956080.0
2025-03-01,6971790.0
2025-04-01,6989181.0
2025-05-01,7001997.0
2025-06-01,7016692.0
2025-07-01,7030500.0
2025-08-01,7045425.0
2025-09-01,7061065.0
2025-10-01,7073972.0
2025-11-01,7093334.0
2025-12-01,7111607.0
2026-01-01,7156315.0
2026-02-01,7175041.0
2026-03-01,7187967.0
2026-04-01,7191195.0
2026-05-01,7207412.0
2026-06-01,7224469.0
2026-07-01,7240796.0
