date,MIR.M.U2.B.A2I.AM.R.A.2240.EUR.N
2014-10-01,2.59
2014-11-01,2.51
2014-12-01,2.45
2015-01-01,2.45
2015-02-01,2.38
2015-03-01,2.37
2015-04-01,2.35
2015-05-01,2.27
2015-06-01,2.25
2015-07-01,2.18
2015-08-01,2.16
2015-09-01,2.23
2015-10-01,2.16
2015-11-01,2.14
2015-12-01,2.1
2016-01-01,2.11
2016-02-01,2.03
2016-03-01,2.05
2016-04-01,2.01
2016-05-01,1.92
2016-06-01,1.9
2016-07-01,1.87
2016-08-01,1.84
2016-09-01,1.86
2016-10-01,1.84
2016-11-01,1.83
2016-12-01,1.81
2017-01-01,1.79
2017-02-01,1.77
2017-03-01,1.83
2017-04-01,1.82
2017-05-01,1.76
2017-06-01,1.76
2017-07-01,1.74
2017-08-01,1.75
2017-09-01,1.73
2017-10-01,1.73
2017-11-01,1.72
2017-12-01,1.71
2018-01-01,1.65
2018-02-01,1.71
2018-03-01,1.73
2018-04-01,1.7
2018-05-01,1.62
2018-06-01,1.68
2018-07-01,1.63
2018-08-01,1.63
2018-09-01,1.65
2018-10-01,1.64
2018-11-01,1.66
2018-12-01,1.64
2019-01-01,1.63
2019-02-01,1.65
2019-03-01,1.65
2019-04-01,1.62
2019-05-01,1.57
2019-06-01,1.55
2019-07-01,1.57
2019-08-01,1.52
2019-09-01,1.54
2019-10-01,1.56
2019-11-01,1.55
2019-12-01,1.56
2020-01-01,1.55
2020-02-01,1.52
2020-03-01,1.46
2020-04-01,1.47
2020-05-01,1.46
2020-06-01,1.5
2020-07-01,1.52
2020-08-01,1.51
2020-09-01,1.52
2020-10-01,1.54
2020-11-01,1.52
2020-12-01,1.51
2021-01-01,1.5
2021-02-01,1.49
2021-03-01,1.4
2021-04-01,1.56
2021-05-01,1.47
2021-06-01,1.47
2021-07-01,1.48
2021-08-01,1.44
2021-09-01,1.49
2021-10-01,1.44
2021-11-01,1.39
2021-12-01,1.36
2022-01-01,1.43
2022-02-01,1.42
2022-03-01,1.49
2022-04-01,1.51
2022-05-01,1.55
2022-06-01,1.83
2022-07-01,1.79
2022-08-01,1.87
2022-09-01,2.4
2022-10-01,2.72
2022-11-01,3.11
2022-12-01,3.41
2023-01-01,3.64
2023-02-01,3.86
2023-03-01,4.22
2023-04-01,4.39
2023-05-01,4.58
2023-06-01,4.78
2023-07-01,4.95
2023-08-01,5.01
2023-09-01,5.11
2023-10-01,5.28
2023-11-01,5.25
2023-12-01,5.24
2024-01-01,5.19
2024-02-01,5.16
2024-03-01,5.2
2024-04-01,5.2
2024-05-01,5.12
2024-06-01,5.08
2024-07-01,5.06
2024-08-01,5.01
2024-09-01,4.8
2024-10-01,4.67
2024-11-01,4.52
2024-12-01,4.36
2025-01-01,4.25
2025-02-01,4.11
2025-03-01,3.94
2025-04-01,3.8
2025-05-01,3.66
2025-06-01,3.61
2025-07-01,3.52
2025-08-01,3.46
2025-09-01,3.5
2025-10-01,3.51
2025-11-01,3.5
2025-12-01,3.57
2026-01-01,3.57
2026-02-01,3.51
2026-03-01,3.59
2026-04-01,3.62
2026-05-01,3.64
2026-06-01,3.79
2026-07-01,3.8
