date,TGB.M.IT.N.A094T.U2.EUR.E
2014-10-01,-181919.08
2014-11-01,-195458.17
2014-12-01,-208944.72
2015-01-01,-164474.34
2015-02-01,-164565.47
2015-03-01,-191509.92
2015-04-01,-177231.62
2015-05-01,-163993.97
2015-06-01,-188629.58
2015-07-01,-195221.06
2015-08-01,-214593.32
2015-09-01,-235654.96
2015-10-01,-223031.03
2015-11-01,-229595.49
2015-12-01,-248859.25
2016-01-01,-251263.64
2016-02-01,-249533.12
2016-03-01,-263320.42
2016-04-01,-264721.48
2016-05-01,-276213.97
2016-06-01,-288873.2
2016-07-01,-292090.03
2016-08-01,-326945.27
2016-09-01,-353940.08
2016-10-01,-355459.18
2016-11-01,-358612.15
2016-12-01,-356559.15
2017-01-01,-364733.34
2017-02-01,-386086.79
2017-03-01,-419838.49
2017-04-01,-411595.06
2017-05-01,-421582.84
2017-06-01,-413862.54
2017-07-01,-397735.62
2017-08-01,-414164.65
2017-09-01,-432457.19
2017-10-01,-412443.41
2017-11-01,-435882.89
2017-12-01,-439022.6
2018-01-01,-433204.98
2018-02-01,-444420.87
2018-03-01,-442456.47
2018-04-01,-426096.77
2018-05-01,-464653.34
2018-06-01,-480941.16
2018-07-01,-471087.13
2018-08-01,-492526.47
2018-09-01,-489164.25
2018-10-01,-489532.02
2018-11-01,-491722.78
2018-12-01,-481997.9
2019-01-01,-481968.73
2019-02-01,-482836.26
2019-03-01,-474804.48
2019-04-01,-481471.65
2019-05-01,-486496.06
2019-06-01,-447581.84
2019-07-01,-435888.45
2019-08-01,-443682.6
2019-09-01,-468018.2
2019-10-01,-419760.23
2019-11-01,-406274.94
2019-12-01,-439448.95
2020-01-01,-383247.62
2020-02-01,-384717.24
2020-03-01,-491641.52
2020-04-01,-512899.12
2020-05-01,-517347.26
2020-06-01,-536721.88
2020-07-01,-522158.69
2020-08-01,-522862.21
2020-09-01,-546330.42
2020-10-01,-519585.27
2020-11-01,-494940.47
2020-12-01,-515966.99
2021-01-01,-481717.29
2021-02-01,-466940.79
2021-03-01,-515584.33
2021-04-01,-480652.81
2021-05-01,-493463.67
2021-06-01,-521505.92
2021-07-01,-492164.81
2021-08-01,-472465.25
2021-09-01,-513515.22
2021-10-01,-519099.6
2021-11-01,-544914.36
2021-12-01,-589982.68
2022-01-01,-564803.35
2022-02-01,-568054.43
2022-03-01,-596558.2
2022-04-01,-573014.31
2022-05-01,-596912.51
2022-06-01,-627682.41
2022-07-01,-640085.25
2022-08-01,-658755.5
2022-09-01,-714932.27
2022-10-01,-669454.0
2022-11-01,-659744.76
2022-12-01,-684310.38
2023-01-01,-651079.92
2023-02-01,-652851.92
2023-03-01,-685235.21
2023-04-01,-638280.81
2023-05-01,-622735.76
2023-06-01,-598392.81
2023-07-01,-556715.21
2023-08-01,-560162.98
2023-09-01,-555217.06
2023-10-01,-526277.45
2023-11-01,-508244.18
2023-12-01,-520875.33
2024-01-01,-504433.45
2024-02-01,-466538.38
2024-03-01,-500923.69
2024-04-01,-437787.22
2024-05-01,-439095.45
2024-06-01,-485288.34
2024-07-01,-461799.35
2024-08-01,-473232.16
2024-09-01,-446410.28
2024-10-01,-428491.07
2024-11-01,-428622.81
2024-12-01,-415923.79
2025-01-01,-402182.19
2025-02-01,-403735.96
2025-03-01,-408512.62
2025-04-01,-371121.18
2025-05-01,-382372.71
2025-06-01,-394181.15
2025-07-01,-366750.67
2025-08-01,-385702.69
2025-09-01,-382706.88
2025-10-01,-347692.8
2025-11-01,-378831.96
2025-12-01,-358362.07
2026-01-01,-349367.24
2026-02-01,-368099.39
2026-03-01,-356661.96
2026-04-01,-348792.05
2026-05-01,-358561.54
2026-06-01,-335639.17
2026-07-01,-331168.67
