issuer,kind,isin,auction,settlement,maturity,nominal,cash,cover,yield,source
IT,bill,IT0005486748,2022-03-10,2022-03-14,2023-03-14,6000.0,6026.64,1.52,-0.436,mef_pdf:12-Month-BOTs-Auction-Results-10-11.03.2022.pdf
IT,bond,IT0005433195,2022-03-11,2022-03-15,2037-03-01,2000.0,1707.729,1.37,2.11,mef_pdf:BTP-15-Years-Auction-Results-11-14.03.2022.pdf
IT,bond,IT0005467482,2022-03-11,2022-03-15,2029-02-15,3000.0,2801.836,1.39,1.47,mef_pdf:BTP-7-Years-Auction-Results-11-14.03.2022.pdf
IT,bond,IT0005474330,2022-03-11,2022-03-15,2024-12-15,2750.0,2707.375,1.52,0.57,mef_pdf:BTP-3-Years-Auction-Results-11-14.03.2022.pdf
IT,bill,IT0005492423,2022-04-27,2022-04-29,2022-10-31,5000.0,5007.95,1.49,-0.308,mef_pdf:Auction-Results-27-28.04.2022.pdf
IT,bill,IT0005492423,2022-04-27,2022-04-29,2022-10-31,500.0,500.795,,-0.308,mef_pdf:Auction-Results-27-28.04.2022.pdf#supplementary
IT,bond,IT0005484552,2022-04-29,2022-05-03,2027-04-01,2500.0,2409.411,1.49,1.91,mef_pdf:BTP-5-Years-Auction-Results-29.04-02.05.2022.pdf
IT,bond,IT0005491250,2022-04-29,2022-05-03,2030-10-15,1500.0,1489.95,1.76,0.5,mef_pdf:CCTeu-7-Years-Auction-Results-29.04-02.05.2022.pdf
IT,bond,IT0005494239,2022-04-29,2022-05-03,2032-12-01,4000.0,3906.4,1.34,2.78,mef_pdf:BTP-10-Years-Auction-Results-29.04-02.05.2022.pdf
IT,bill,IT0005494502,2022-05-11,2022-05-13,2023-05-12,6500.0,6492.07,1.5,0.121,mef_pdf:12-Month-BOTs-Auction-Results-11-12.05.2022.pdf
IT,bill,IT0005494502,2022-05-11,2022-05-13,2023-05-12,296.153,295.792,,0.121,mef_pdf:12-Month-BOTs-Auction-Results-11-12.05.2022.pdf#supplementary
IT,bond,IT0005273013,2022-05-12,2022-05-16,2048-03-01,1000.0,1080.184,1.82,3.06,mef_pdf:BTP-30-Years-26-years-residual_maturity-Auction-Results-12-13.05.2022.pdf
IT,bond,IT0005493298,2022-05-12,2022-05-16,2025-08-15,2000.0,1979.8,1.97,1.53,mef_pdf:BTP-3-Years-Auction-Results-12-13.05.2022.pdf
IT,bond,IT0005495731,2022-05-12,2022-05-16,2029-06-15,3750.0,3852.375,1.52,2.39,mef_pdf:BTP-7-Years-Auction-Results-12-13.05.2022.pdf
IT,bond,IT0005482309,2022-05-26,2022-05-30,2023-11-29,2250.0,2224.35,1.89,0.77,mef_pdf:BTP-Short-Term-Auction-Results-26-27.05.2022.pdf
