date,net_issuance_private_daily
2018-09-13,0.0
2018-09-14,12203.046
2018-09-17,0.0
2018-09-18,0.0
2018-09-19,1713.0
2018-09-20,-3139.667
2018-09-21,-2370.835
2018-09-24,-11325.879
2018-09-25,0.0
2018-09-26,-1455.605
2018-09-27,0.0
2018-09-28,-2428.856
2018-10-01,0.0
2018-10-02,0.0
2018-10-03,1309.0
2018-10-04,-9.85
2018-10-05,0.0
2018-10-08,-9006.461
2018-10-09,0.0
2018-10-10,3580.254
2018-10-11,-397.464
2018-10-12,14830.861
2018-10-15,0.0
2018-10-16,47.5
2018-10-17,420.0
2018-10-18,-3062.22
2018-10-19,-1534.267
2018-10-22,-11188.726
2018-10-23,0.0
2018-10-24,519.0
2018-10-25,0.0
2018-10-26,-2447.562
2018-10-29,0.0
2018-10-30,0.0
2018-10-31,1121.0
2018-11-01,0.0
2018-11-02,0.0
2018-11-05,0.0
2018-11-06,0.0
2018-11-07,-219.0
2018-11-08,-0.6
2018-11-09,-2356.773
2018-11-12,-12806.432
2018-11-13,0.0
2018-11-14,-1230.112
2018-11-15,-3184.723
2018-11-16,-1247.331
2018-11-19,0.0
2018-11-20,0.0
2018-11-21,-1586.0
2018-11-22,0.85
2018-11-23,-2473.832
2018-11-26,-9790.506
2018-11-27,0.0
2018-11-28,-1018.41
2018-11-29,0.0
2018-11-30,-1669.199
2018-12-03,0.0
2018-12-04,0.0
2018-12-05,1431.066
2018-12-06,-69.3
2018-12-07,0.0
2018-12-10,-4339.842
2018-12-11,0.0
2018-12-12,4702.0
2018-12-13,-2438.481
2018-12-14,13000.0
2018-12-17,0.0
2018-12-18,0.0
2018-12-19,4150.0
2018-12-20,1980.5
2018-12-21,0.0
2018-12-24,0.0
2018-12-25,0.0
2018-12-26,0.0
2018-12-27,0.0
2018-12-28,0.0
2018-12-31,0.0
2019-01-01,0.0
2019-01-02,0.0
2019-01-03,0.0
2019-01-04,29628.375
2019-01-07,0.0
2019-01-08,0.0
2019-01-09,4078.0
2019-01-10,-458.745
2019-01-11,-3165.081
2019-01-14,-10539.679
2019-01-15,0.0
2019-01-16,-1527.731
2019-01-17,0.0
2019-01-18,-1338.518
2019-01-21,0.0
2019-01-22,0.0
2019-01-23,482.0
2019-01-24,-45.95
2019-01-25,-3247.711
2019-01-28,-11434.266
2019-01-29,0.0
2019-01-30,-193.316
2019-01-31,-4019.219
2019-02-01,-2345.738
2019-02-04,0.0
2019-02-05,0.0
2019-02-06,1466.0
2019-02-07,-1160.536
2019-02-08,0.0
2019-02-11,-12239.247
2019-02-12,0.0
2019-02-13,3065.777
2019-02-14,0.0
2019-02-15,-701.428
2019-02-18,0.0
2019-02-19,0.0
2019-02-20,1347.0
2019-02-21,1.85
2019-02-22,12940.227
2019-02-25,-13471.717
2019-02-26,0.0
2019-02-27,727.0
2019-02-28,-4048.524
2019-03-01,-2457.253
2019-03-04,0.0
2019-03-05,0.0
2019-03-06,232.0
2019-03-07,-640.542
2019-03-08,0.0
2019-03-11,-12294.119
2019-03-12,0.0
2019-03-13,-1922.206
2019-03-14,0.0
2019-03-15,12054.678
2019-03-18,0.0
2019-03-19,0.0
2019-03-20,-4867.0
2019-03-21,-523.05
2019-03-22,-3260.258
2019-03-25,-13817.096
2019-03-26,0.0
2019-03-27,-1471.81
2019-03-28,-3189.262
2019-03-29,-2506.196
2019-04-01,0.0
2019-04-02,0.0
2019-04-03,1513.0
2019-04-04,7.05
2019-04-05,0.0
2019-04-08,-11489.711
2019-04-09,0.0
2019-04-10,2484.445
2019-04-11,-669.511
2019-04-12,13548.868
2019-04-15,386.45
2019-04-16,0.0
2019-04-17,821.0
2019-04-18,80.15
2019-04-19,-1102.792
2019-04-22,0.0
2019-04-23,0.0
2019-04-24,-13814.95
2019-04-25,-572.0
2019-04-26,-2505.165
2019-04-29,0.0
2019-04-30,0.0
2019-05-01,0.0
2019-05-02,-2601.815
