date,ILM.W.U2.C.L050000.U2.EUR
2014-09-19,115820.0
2014-09-26,116597.0
2014-10-03,100000.0
2014-10-10,103220.0
2014-10-17,108549.0
2014-10-24,134041.0
2014-10-31,93070.0
2014-11-07,93738.0
2014-11-14,103366.0
2014-11-21,120757.0
2014-11-28,92300.0
2014-12-05,107731.0
2014-12-12,92307.0
2014-12-19,106822.0
2014-12-26,93044.0
2015-01-02,71890.0
2015-01-09,84915.0
2015-01-16,94694.0
2015-01-23,114706.0
2015-01-30,111448.0
2015-02-06,88426.0
2015-02-13,91754.0
2015-02-20,110168.0
2015-02-27,97374.0
2015-03-06,101497.0
2015-03-13,101487.0
2015-03-20,118130.0
2015-03-27,129960.0
2015-04-03,126602.0
2015-04-10,132125.0
2015-04-17,125957.0
2015-04-24,159764.0
2015-05-01,112728.0
2015-05-08,116366.0
2015-05-15,132518.0
2015-05-22,157041.0
2015-05-29,147389.0
2015-06-05,146127.0
2015-06-12,135441.0
2015-06-19,175359.0
2015-06-26,204009.0
2015-07-03,164148.0
2015-07-10,164998.0
2015-07-17,144993.0
2015-07-24,181382.0
2015-07-31,141700.0
2015-08-07,105675.0
2015-08-14,121915.0
2015-08-21,116942.0
2015-08-28,132228.0
2015-09-04,116295.0
2015-09-11,125196.0
2015-09-18,155377.0
2015-09-25,193994.0
2015-10-02,167615.0
2015-10-09,163228.0
2015-10-16,195569.0
2015-10-23,216445.0
2015-10-30,199202.0
2015-11-06,154334.0
2015-11-13,172442.0
2015-11-20,215046.0
2015-11-27,211356.0
2015-12-04,177513.0
2015-12-11,155293.0
2015-12-18,172274.0
2015-12-25,152227.0
2016-01-01,141805.0
2016-01-08,149438.0
2016-01-15,178371.0
2016-01-22,204859.0
2016-01-29,195818.0
2016-02-05,180809.0
2016-02-12,196090.0
2016-02-19,243730.0
2016-02-26,220368.0
2016-03-04,199438.0
2016-03-11,201995.0
2016-03-18,243712.0
2016-03-25,269851.0
2016-04-01,220502.0
2016-04-08,201663.0
2016-04-15,231085.0
2016-04-22,255863.0
2016-04-29,210865.0
2016-05-06,181981.0
2016-05-13,200014.0
2016-05-20,247489.0
2016-05-27,262678.0
2016-06-03,223275.0
2016-06-10,220938.0
2016-06-17,287398.0
2016-06-24,332298.0
2016-07-01,251205.0
2016-07-08,237146.0
2016-07-15,275238.0
2016-07-22,309485.0
2016-07-29,277028.0
2016-08-05,208939.0
2016-08-12,224995.0
2016-08-19,240896.0
2016-08-26,270176.0
2016-09-02,216992.0
2016-09-09,227781.0
2016-09-16,258857.0
2016-09-23,273555.0
2016-09-30,260956.0
2016-10-07,264223.0
2016-10-14,276889.0
2016-10-21,304036.0
2016-10-28,290456.0
2016-11-04,241571.0
2016-11-11,258809.0
2016-11-18,270607.0
2016-11-25,290183.0
2016-12-02,253809.0
2016-12-09,249038.0
2016-12-16,271849.0
2016-12-23,238016.0
2016-12-30,220760.0
2017-01-06,213812.0
2017-01-13,240228.0
2017-01-20,281767.0
2017-01-27,305200.0
2017-02-03,237507.0
2017-02-10,251966.0
2017-02-17,293930.0
2017-02-24,289748.0
2017-03-03,254452.0
2017-03-10,257094.0
2017-03-17,297858.0
2017-03-24,340873.0
2017-03-31,304809.0
2017-04-07,279234.0
2017-04-14,298107.0
2017-04-21,344246.0
2017-04-28,306241.0
2017-05-05,256013.0
2017-05-12,283056.0
2017-05-19,314524.0
2017-05-26,353144.0
2017-06-02,299858.0
2017-06-09,310202.0
2017-06-16,351738.0
2017-06-23,400753.0
2017-06-30,347586.0
2017-07-07,340111.0
2017-07-14,360246.0
2017-07-21,380784.0
2017-07-28,369794.0
2017-08-04,273731.0
2017-08-11,285528.0
2017-08-18,321576.0
2017-08-25,352307.0
2017-09-01,286719.0
2017-09-08,292378.0
2017-09-15,324261.0
2017-09-22,362324.0
2017-09-29,351877.0
2017-10-06,321377.0
2017-10-13,333729.0
2017-10-20,357111.0
2017-10-27,327605.0
2017-11-03,279804.0
2017-11-10,296347.0
2017-11-17,337265.0
2017-11-24,360157.0
2017-12-01,292862.0
2017-12-08,287001.0
2017-12-15,321338.0
2017-12-22,295799.0
2017-12-29,286889.0
2018-01-05,280093.0
2018-01-12,298922.0
2018-01-19,316985.0
2018-01-26,349833.0
2018-02-02,296089.0
2018-02-09,303560.0
2018-02-16,342155.0
2018-02-23,374260.0
2018-03-02,316189.0
2018-03-09,315594.0
2018-03-16,369375.0
2018-03-23,405038.0
2018-03-30,363767.0
2018-04-06,355543.0
2018-04-13,370133.0
2018-04-20,383765.0
2018-04-27,377063.0
2018-05-04,319926.0
2018-05-11,337343.0
2018-05-18,376098.0
2018-05-25,402791.0
2018-06-01,310615.0
2018-06-08,309349.0
2018-06-15,367374.0
2018-06-22,402894.0
2018-06-29,374174.0
2018-07-06,350001.0
2018-07-13,377215.0
2018-07-20,445695.0
2018-07-27,441390.0
2018-08-03,332662.0
2018-08-10,335086.0
2018-08-17,370249.0
2018-08-24,398153.0
2018-08-31,359727.0
2018-09-07,350602.0
2018-09-14,384731.0
2018-09-21,420171.0
2018-09-28,409266.0
2018-10-05,386156.0
2018-10-12,383324.0
2018-10-19,416928.0
2018-10-26,412808.0
2018-11-02,342604.0
2018-11-09,338773.0
2018-11-16,401937.0
2018-11-23,408201.0
2018-11-30,375315.0
2018-12-07,348194.0
2018-12-14,371397.0
2018-12-21,327458.0
2018-12-28,324294.0
2019-01-04,321295.0
2019-01-11,334226.0
2019-01-18,387709.0
2019-01-25,404330.0
2019-02-01,356269.0
2019-02-08,355006.0
2019-02-15,404964.0
2019-02-22,414320.0
2019-03-01,361551.0
2019-03-08,349138.0
2019-03-15,398713.0
2019-03-22,429919.0
2019-03-29,389924.0
2019-04-05,370412.91220668
2019-04-12,382413.0
2019-04-19,416467.0
